scenario,compartment,timeperiod,herd_bounds,prop_age,prop_mature,prop_old,survival_rate,area
bc_herd_plan_3m_40y,Williams_Lake_TSA,0,Barkerville HEWSR,0.105153752,0.051680883,0.82818436,0.845370041,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,1,Barkerville HEWSR,0.106300624,0.053831267,0.824385349,0.84308442,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,2,Barkerville HEWSR,0.106157265,0.021647194,0.856569422,0.843371619,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,3,Barkerville HEWSR,0.100781306,0.021647194,0.856569422,0.853835063,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,4,Barkerville HEWSR,0.098272525,0.021647194,0.856569422,0.858516402,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,5,Barkerville HEWSR,0.096910616,0.021647194,0.856569422,0.861004865,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,6,Barkerville HEWSR,0.099849473,0.021718873,0.856569422,0.855588655,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,7,Barkerville HEWSR,0.099849473,0.021360476,0.856927819,0.855588655,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,8,Barkerville HEWSR,0.099849473,0.021360476,0.856927819,0.855588655,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,9,Barkerville HEWSR,0.099849473,0.021360476,0.856927819,0.855588655,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,10,Barkerville HEWSR,0.09375672,0.021360476,0.85678446,0.866626814,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,11,Barkerville HEWSR,0.089025876,0.021360476,0.85678446,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,12,Barkerville HEWSR,0.067952118,0.01433589,0.863809046,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,13,Barkerville HEWSR,0.056698445,0.01433589,0.863809046,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,14,Barkerville HEWSR,0.052756075,0.013619095,0.86452584,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,15,Barkerville HEWSR,0.051394165,0.013619095,0.86452584,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,16,Barkerville HEWSR,0.032255752,0.013619095,0.86452584,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,17,Barkerville HEWSR,0.025374525,0.013619095,0.86452584,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,18,Barkerville HEWSR,0.022292309,0.013619095,0.864454161,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,19,Barkerville HEWSR,0.024442692,0.013619095,0.864454161,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,20,Barkerville HEWSR,0.022722385,0.013619095,0.864454161,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,21,Barkerville HEWSR,0.021145438,0.013977493,0.864454161,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,22,Barkerville HEWSR,0.02738155,0.010751917,0.867679736,0.869295693,13951
bc_herd_plan_3m_40y,Williams_Lake_TSA,23,Barkerville HEWSR,0.029173536,0.01039352,0.868611569,0.869295693,13951
bc_herd_plan_3m_40y,Quesnel_TSA,0,Barkerville HEWSR,0.166157439,0.03695631,0.773980734,0.684439825,51385
bc_herd_plan_3m_40y,Quesnel_TSA,1,Barkerville HEWSR,0.169290649,0.036567092,0.772326554,0.674095786,51385
bc_herd_plan_3m_40y,Quesnel_TSA,2,Barkerville HEWSR,0.168940352,0.035963803,0.772093023,0.67526096,51385
bc_herd_plan_3m_40y,Quesnel_TSA,3,Barkerville HEWSR,0.170516688,0.034465311,0.772501703,0.67000077,51385
bc_herd_plan_3m_40y,Quesnel_TSA,4,Barkerville HEWSR,0.16971879,0.033414421,0.773552593,0.672668758,51385
bc_herd_plan_3m_40y,Quesnel_TSA,5,Barkerville HEWSR,0.169582563,0.033414421,0.773552593,0.673123161,51385
bc_herd_plan_3m_40y,Quesnel_TSA,6,Barkerville HEWSR,0.170613992,0.033083585,0.773708281,0.669674651,51385
bc_herd_plan_3m_40y,Quesnel_TSA,7,Barkerville HEWSR,0.176101975,0.033628491,0.769952321,0.651024506,51385
bc_herd_plan_3m_40y,Quesnel_TSA,8,Barkerville HEWSR,0.172151406,0.033628491,0.772151406,0.664500462,51385
bc_herd_plan_3m_40y,Quesnel_TSA,9,Barkerville HEWSR,0.170030164,0.026408485,0.779254646,0.671628908,51385
bc_herd_plan_3m_40y,Quesnel_TSA,10,Barkerville HEWSR,0.167539165,0.026408485,0.778982193,0.679899893,51385
bc_herd_plan_3m_40y,Quesnel_TSA,11,Barkerville HEWSR,0.151950958,0.026272258,0.779098959,0.728998096,51385
bc_herd_plan_3m_40y,Quesnel_TSA,12,Barkerville HEWSR,0.147299796,0.026272258,0.779021115,0.742696645,51385
bc_herd_plan_3m_40y,Quesnel_TSA,13,Barkerville HEWSR,0.138951056,0.026622555,0.77911842,0.766124178,51385
bc_herd_plan_3m_40y,Quesnel_TSA,14,Barkerville HEWSR,0.131575362,0.026622555,0.77911842,0.785553767,51385
bc_herd_plan_3m_40y,Quesnel_TSA,15,Barkerville HEWSR,0.114041063,0.026622555,0.77911842,0.826934544,51385
bc_herd_plan_3m_40y,Quesnel_TSA,16,Barkerville HEWSR,0.101488761,0.025591126,0.780130388,0.852491964,51385
bc_herd_plan_3m_40y,Quesnel_TSA,17,Barkerville HEWSR,0.091602608,0.025493821,0.780091466,0.8703551,51385
bc_herd_plan_3m_40y,Quesnel_TSA,18,Barkerville HEWSR,0.086464922,0.029755765,0.781122896,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,19,Barkerville HEWSR,0.081658071,0.024618079,0.786046512,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,20,Barkerville HEWSR,0.080393111,0.023528267,0.787136324,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,21,Barkerville HEWSR,0.076929065,0.023606111,0.787136324,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,22,Barkerville HEWSR,0.077493432,0.023703415,0.787000097,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,23,Barkerville HEWSR,0.073426097,0.023625572,0.78705848,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,24,Barkerville HEWSR,0.073309332,0.023158509,0.787408777,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,25,Barkerville HEWSR,0.073718011,0.023158509,0.786727644,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,26,Barkerville HEWSR,0.072453051,0.023275275,0.786669261,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,27,Barkerville HEWSR,0.088196945,0.022166002,0.772093023,0.869295693,51385
bc_herd_plan_3m_40y,Quesnel_TSA,28,Barkerville HEWSR,0.119295514,0.021056729,0.735759463,0.815240232,51385
bc_herd_plan_3m_40y,Quesnel_TSA,29,Barkerville HEWSR,0.153507833,0.016055269,0.706548604,0.724311794,51385
bc_herd_plan_3m_40y,Quesnel_TSA,30,Barkerville HEWSR,0.211112192,0.016678019,0.651688236,0.523227955,51385
bc_herd_plan_3m_40y,Quesnel_TSA,31,Barkerville HEWSR,0.225377056,0.01650287,0.639116474,0.469238909,51385
bc_herd_plan_3m_40y,Quesnel_TSA,32,Barkerville HEWSR,0.239817067,0.016327722,0.624871071,0.415315729,51385
bc_herd_plan_3m_40y,Quesnel_TSA,33,Barkerville HEWSR,0.240147903,0.018507347,0.624306704,0.41409878,51385
bc_herd_plan_3m_40y,Quesnel_TSA,34,Barkerville HEWSR,0.239953294,0.018001362,0.624695923,0.414814506,51385
bc_herd_plan_3m_40y,Quesnel_TSA,35,Barkerville HEWSR,0.237209302,0.017981901,0.624657001,0.424943211,51385
bc_herd_plan_3m_40y,Quesnel_TSA,36,Barkerville HEWSR,0.241490707,0.017981901,0.624559696,0.409170301,51385
bc_herd_plan_3m_40y,Quesnel_TSA,37,Barkerville HEWSR,0.24405955,0.018040284,0.624540235,0.399793349,51385
bc_herd_plan_3m_40y,Quesnel_TSA,38,Barkerville HEWSR,0.240050598,0.016736402,0.624832149,0.414456598,51385
bc_herd_plan_3m_40y,Quesnel_TSA,39,Barkerville HEWSR,0.243709254,0.012591223,0.624754306,0.401067872,51385
bc_herd_plan_3m_40y,Quesnel_TSA,40,Barkerville HEWSR,0.24571373,0.012591223,0.624754306,0.393793339,51385
bc_herd_plan_3m_40y,Quesnel_TSA,41,Barkerville HEWSR,0.246394862,0.01418702,0.624734845,0.391331916,51385
bc_herd_plan_3m_40y,Quesnel_TSA,42,Barkerville HEWSR,0.246667315,0.01418702,0.624734845,0.390348884,51385
bc_herd_plan_3m_40y,Quesnel_TSA,43,Barkerville HEWSR,0.24551912,0.014128637,0.624948915,0.3944976,51385
bc_herd_plan_3m_40y,Quesnel_TSA,44,Barkerville HEWSR,0.246278097,0.014109176,0.624929454,0.391753485,51385
bc_herd_plan_3m_40y,Quesnel_TSA,45,Barkerville HEWSR,0.246453245,0.014070254,0.624929454,0.391121192,51385
bc_herd_plan_3m_40y,Quesnel_TSA,46,Barkerville HEWSR,0.248302034,0.013038825,0.624929454,0.38446963,51385
bc_herd_plan_3m_40y,Quesnel_TSA,47,Barkerville HEWSR,0.247757128,0.014770848,0.624540235,0.386425728,51385
bc_herd_plan_3m_40y,Quesnel_TSA,48,Barkerville HEWSR,0.244215238,0.015510363,0.623703415,0.399227328,51385
bc_herd_plan_3m_40y,Quesnel_TSA,49,Barkerville HEWSR,0.246102948,0.014868152,0.623995329,0.392386143,51385
bc_herd_plan_3m_40y,Quesnel_TSA,50,Barkerville HEWSR,0.246394862,0.024053712,0.623898025,0.391331916,51385
bc_herd_plan_3m_40y,Quesnel_TSA,51,Barkerville HEWSR,0.246939768,0.028880023,0.623878564,0.389366743,51385
bc_herd_plan_3m_40y,Quesnel_TSA,52,Barkerville HEWSR,0.2471733,0.032927897,0.624053712,0.388525621,51385
bc_herd_plan_3m_40y,Quesnel_TSA,53,Barkerville HEWSR,0.2471733,0.035866498,0.623898025,0.388525621,51385
bc_herd_plan_3m_40y,Quesnel_TSA,54,Barkerville HEWSR,0.246239175,0.046570011,0.624151017,0.391894045,51385
bc_herd_plan_3m_40y,Quesnel_TSA,55,Barkerville HEWSR,0.246998151,0.054140313,0.624131556,0.3891564,51385
bc_herd_plan_3m_40y,Quesnel_TSA,56,Barkerville HEWSR,0.247192761,0.059239078,0.624131556,0.388455557,51385
bc_herd_plan_3m_40y,Quesnel_TSA,57,Barkerville HEWSR,0.245343972,0.063831858,0.624131556,0.39513181,51385
bc_herd_plan_3m_40y,Quesnel_TSA,58,Barkerville HEWSR,0.247543057,0.068950083,0.622944439,0.387195203,51385
bc_herd_plan_3m_40y,Quesnel_TSA,59,Barkerville HEWSR,0.251610392,0.065077357,0.625766274,0.372675372,51385
bc_herd_plan_3m_40y,Quesnel_TSA,60,Barkerville HEWSR,0.252739126,0.069475528,0.625766274,0.368685081,51385
bc_herd_plan_3m_40y,Quesnel_TSA,61,Barkerville HEWSR,0.251746619,0.070876715,0.625513282,0.372192852,51385
bc_herd_plan_3m_40y,Quesnel_TSA,62,Barkerville HEWSR,0.250968181,0.074768901,0.625571665,0.374953515,51385
