BOUNDARY,AREA,LANDINGS,METHOD,MINUTES,OBS_NUM_ROADS,PRED_NUM,CORR_NUM,SSE_NUM,USERS,AREA,LANDINGS
Barkerville,74114.50298,608,lcp,2,10350,9207,4107,1306449,0.44607364,74114.50298,608
Barkerville,74114.50298,608,mst,4,10350,8006,3840,5494336,0.47964027,74114.50298,608
Barkerville,74114.50298,608,snap,0.5,10350,8905,3962,2088025,0.444918585,74114.50298,608
Central Rockies,75946.53509,272,lcp,1,3736,5562,2551,3334276,0.458647968,75946.53509,272
Central Rockies,75946.53509,272,mst,2,3736,5045,2499,1713481,0.495341923,75946.53509,272
Central Rockies,75946.53509,272,snap,0.3,3736,5619,2509,3545689,0.446520733,75946.53509,272
Chase,1246512.535,1533,mst,21,29055,36963,18221,62536464,0.492952412,1246512.535,1533
Chase,1246512.535,1533,lcp,14,29055,39253,18393,435139600,0.46857565,1246512.535,1533
Chase,1246512.535,1533,snap,2,29055,39253,18493,103999204,0.471123226,1246512.535,1533
Chinchaga,1390336.39,434,lcp,7,6784,24777,3856,323748049,0.155628204,1390336.39,434
Chinchaga,1390336.39,434,mst,15,6784,19027,3815,149891049,0.200504546,1390336.39,434
Chinchaga,1390336.39,434,snap,1,6784,27412,3999,425514384,0.145885014,1390336.39,434
Columbia North,465211.6816,2422,lcp,13,26584,37309,17402,115025625,0.466429012,465211.6816,2422
Columbia North,465211.6816,2422,mst,41,26584,33592,17142,49112064,0.510300071,465211.6816,2422
Columbia North,465211.6816,2422,snap,1,26584,36654,17588,101404900,0.47983849,465211.6816,2422
Finlay,817500.0845,719,lcp,8,10812,19139,7804,69338929,0.407753801,817500.0845,719
Finlay,817500.0845,719,mst,15,10812,16816,7614,36048016,0.452783064,817500.0845,719
Finlay,817500.0845,719,snap,0.5,10812,19822,7799,81180100,0.39345172,817500.0845,719
Graham,929078.4639,924,lcp,9,18359,27317,11277,80245764,0.412819856,929078.4639,924
Graham,929078.4639,924,mst,26,18359,24974,11250,43758225,0.450468487,929078.4639,924
Graham,929078.4639,924,snap,0.5,18359,28066,11303,94225849,0.402729281,929078.4639,924
Groundhog,100604.0114,667,lcp,2,8846,11865,5980,9114361,0.504003371,100604.0114,667
Groundhog,100604.0114,667,mst,4,8846,11276,5980,5904900,0.530329904,100604.0114,667
Groundhog,100604.0114,667,snap,1,8846,11430,5934,6677056,0.519160105,100604.0114,667
Horseranch,1772029.571,3,lcp,0,5494,5408,5389,7396,0.996486686,1772029.571,3
Horseranch,1772029.571,3,mst,1,5494,5408,5389,7396,0.996486686,1772029.571,3
Horseranch,1772029.571,3,snap,0.5,5494,5406,5389,7744,0.996855346,1772029.571,3
Itcha-Ilgachuz,945677.4872,4704,lcp,46,43612,82106,24366,1481788036,0.296762721,945677.4872,4704
Itcha-Ilgachuz,945677.4872,4704,mst,133,43612,63217,24087,384356025,0.381020928,945677.4872,4704
Itcha-Ilgachuz,945677.4872,4704,snap,3,43612,82503,24491,1512509881,0.296849812,945677.4872,4704
Moberly,329121.1975,999,lcp,4,20509,26461,14015,35426304,0.529647406,329121.1975,999
Moberly,329121.1975,999,mst,13,20509,24499,13830,15920100,0.564512837,329121.1975,999
Moberly,329121.1975,999,snap,0.5,20509,25795,13904,27941796,0.53901919,329121.1975,999
Muskwa,2159476.039,261,lcp,8,8715,17138,8003,70946929,0.466973976,2159476.039,261
Muskwa,2159476.039,261,mst,14,8715,13553,8020,23406244,0.591750904,2159476.039,261
Muskwa,2159476.039,261,snap,1,8715,17197,8021,71944324,0.466418561,2159476.039,261
Nakusp,234153.4083,664,lcp,3,10172,14896,6993,22316176,0.469454887,234153.4083,664
Nakusp,234153.4083,664,mst,6,10172,13907,6862,13950225,0.49342058,234153.4083,664
Nakusp,234153.4083,664,snap,0.5,10172,15470,6790,28068804,0.438914027,234153.4083,664
Narraway,637212.6,647,lcp,7,15128,23589,8049,71588521,0.341218364,637212.6,647
Narraway,637212.6,647,mst,14,15128,19928,8064,23040000,0.404656764,637212.6,647
Narraway,637212.6,647,snap,1,15128,23842,8083,75933796,0.339023572,637212.6,647
North Cariboo,232705.2741,421,lcp,3,9117,12974,5451,14876449,0.420147988,232705.2741,421
North Cariboo,232705.2741,421,mst,9,9117,12140,5433,9138529,0.44752883,232705.2741,421
North Cariboo,232705.2741,421,snap,1,9117,13135,5368,16144324,0.408679102,232705.2741,421
Quintette,607805.0245,1654,lcp,12,38716,45664,22778,48274704,0.498817449,607805.0245,1654
Quintette,607805.0245,1654,mst,42,38716,41526,22684,7896100,0.546260174,607805.0245,1654
Quintette,607805.0245,1654,snap,1,38716,45059,22659,40233649,0.50287401,607805.0245,1654
Rainbows,380369.641,934,lcp,5,14198,21572,9650,54375876,0.447339143,380369.641,934
Rainbows,380369.641,934,mst,10,14198,18094,9442,15178816,0.521830441,380369.641,934
Rainbows,380369.641,934,snap,0.4,14198,21711,9690,56445169,0.446317535,380369.641,934
Scott,414938.9368,1973,lcp,9,31191,40176,18530,80730225,0.461220629,414938.9368,1973
Scott,414938.9368,1973,mst,36,31191,36949,18269,33154564,0.49443828,414938.9368,1973
