BOUNDARY,AREA,LANDINGS,METHOD,MINUTES,OBS_NUM_ROADS,PRED_NUM,CORR_NUM,SSE_NUM,USERS,AREA,LANDINGS
Scott,414938.9368,1973,snap,2,31191,39674,18413,71961289,0.464107476,414938.9368,1973
South Selkirks,129649.3285,448,lcp,2,5067,10958,4181,34703881,0.381547728,129649.3285,448
South Selkirks,129649.3285,448,mst,2,5067,10393,4175,28366276,0.401712691,129649.3285,448
South Selkirks,129649.3285,448,snap,0.3,5067,10841,4140,33339076,0.38188359,129649.3285,448
Takla,212221.1137,782,lcp,3,19769,15940,8814,14661241,0.552948557,212221.1137,782
Takla,212221.1137,782,mst,7,19769,15273,8537,20214016,0.558960257,212221.1137,782
Takla,212221.1137,782,snap,0.5,19769,15645,8648,17007376,0.552764461,212221.1137,782
Telkwa,309788.1698,2060,lcp,7,20796,32316,11204,132710400,0.346701324,309788.1698,2060
Telkwa,309788.1698,2060,mst,18,20796,28153,10718,54125449,0.380705431,309788.1698,2060
Telkwa,309788.1698,2060,snap,1,20796,31614,11121,117029124,0.35177453,309788.1698,2060
Tweedsmuir,1342500.621,3209,lcp,40,39729,53980,19268,203091001,0.356947017,1342500.621,3209
Tweedsmuir,1342500.621,3209,mst,116,39729,47174,18558,55428025,0.393394667,1342500.621,3209
Tweedsmuir,1342500.621,3209,snap,3,39729,52930,19259,174266401,0.363857926,1342500.621,3209
Wells Gray,940497.737,1910,lcp,30,29801,42309,17577,156450064,0.415443523,940497.737,1910
Wells Gray,940497.737,1910,mst,113,29801,38260,17366,71554681,0.453894407,940497.737,1910
Wells Gray,940497.737,1910,snap,2,29801,41007,17407,125574436,0.424488502,940497.737,1910
Wolverine,1054122.633,2941,lcp,30,60039,66096,35082,36687249,0.53077342,1054122.633,2941
Wolverine,1054122.633,2941,mst,107,60039,60923,34633,781456,0.568471677,1054122.633,2941
Wolverine,1054122.633,2941,snap,1,60039,65043,34962,25040016,0.537521332,1054122.633,2941
