"OBJECT_NAME_FULL","FEATURE_ID","TSA","TSB"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1550","25","25B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1896","46","V 46B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1897","46","V 46K"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1901","44","N 28A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1918","46","V 46E"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1956","48","V 48C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1463","25","25D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1657","33","33C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1739","21","21E"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1741","21","21C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1549","25","25D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1616","39","39B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1041","44","44Z11b"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1102","44","44Z16"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","822","44","44Z25"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1903","46","V 46G"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1905","44","N 28B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2036","47","V 47A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2038","44","Z 44 1"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1658","33","33B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1811","37","37B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1815","38","38A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1617","39","39C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1917","46","V 46D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1996","48","V 48A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2062","44","Z 44 1"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","921","44","44Z2"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1461","25","25B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1743","21","21A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1552","25","25C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1061","44","44Z12"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1241","44","44W29"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1161","44","44Z21"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1501","25","25A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1902","46","V 46B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1936","48","V 48D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1940","44","Z 44 2"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1976","48","V 48E"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1462","25","25C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1551","25","25A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2076","47","V 47D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1281","10","10F"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1441","25","25B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1899","46","V 46I"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1900","46","V 46J"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2017","48","V 48C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2060","44","Z 44 1"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1656","33","33D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1103","44","44Z17"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1221","44","44 N28"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1907","44","N 28F"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2056","47","V 47B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1740","21","21D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1773","19","19D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1777","19","19A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1814","38","38B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1615","38","38C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1101","44","44Z15"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1916","46","V 46C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1921","46","V 46B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2019","46","V 46A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2136","25","25E"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2138","31","31D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1775","19","19C"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1778","19","19B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1813","37","37A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1421","19","19E"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1062","44","44Z13"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1222","44","44 N28"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1226","44","44 N28"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1502","25","25B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1898","46","V 46H"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2016","48","V 48B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2037","44","Z 44 1"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2039","44","Z 44 1"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","2058","44","Z 44 1"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1659","33","33A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1742","21","21B"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1779","31","31A"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1812","37","37D"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","345","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","309","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","311","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","581","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1361","38","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1685","25","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","603","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","608","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","682","33","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","316","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1704","21","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","621","10","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1920","46","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","318","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","321","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1696","31","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","701","37","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","310","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1719","39","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","607","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1876","46","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","320","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1836","48","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1856","47","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1709","30","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","342","44","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","622","10","None"
"WHSE_WILDLIFE_MANAGEMENT.CRIMS_HERRING_SPAWN","1321","19","None"
