"FHE","Mean_Area_km2","SD_Area_km2"
"Boreal",28.8161538461538,13.8256600435938
"Dry Forest",29.269,14.5535749330992
"Sub-Boreal dry",43.3777777777778,33.6683474415428
"Sub-Boreal moist",45.31375,16.1666278288684
