Fpop,Age_class,Cohort,Mean,SE
Columbian,Adult,CFA,0.79,0.176
Columbian,Juvenile,CFJ,0.41,0.341
Boreal,Adult,BFA,0.86,0.147
Boreal,Juvenile,BFJ,0.54,0.332
