"ID1","ID2","lat","long","el"
39487,"2005",56.4063,-120.1861,714.847961425781
39488,"2005",56.5887,-120.3559,703.384460449219
39489,"2005",59.3331,-120.2681,448.378326416016
39490,"2005",59.7794,-120.0033,504.579193115234
39491,"2005",56.6376,-120.3007,726.269470214844
39492,"2005",59.2848,-120.1987,437.796447753906
39493,"2005",56.5227,-120.1459,809.14501953125
39494,"2005",56.4106,-120.0691,773.004516601562
39495,"2005",56.4028,-120.2387,721.672119140625
39496,"2005",59.8252,-120.003,486.002380371094
39497,"2005",59.901,-120.0603,486.262023925781
39498,"2005",59.19,-120.0417,438.792602539062
39499,"2005",57.0958,-120.0323,771.187316894531
39500,"2005",58.2341,-123.1232,663.68896484375
39501,"2005",59.311,-122.0386,580.505920410156
39502,"2005",59.393,-122.5374,471.767517089844
39503,"2005",58.9534,-123.5066,561.698791503906
39504,"2005",57.7946,-120.4471,658.083190917969
39505,"2005",58.9431,-122.8693,500.353668212891
39506,"2005",58.9082,-121.8347,497.293640136719
39507,"2005",57.9614,-122.7943,575.71435546875
39508,"2005",57.896,-120.5954,603.482299804688
39509,"2005",58.0836,-122.7159,573.566711425781
39510,"2005",59.595,-124.4402,486.089721679688
39511,"2005",59.9296,-122.6435,453.723297119141
39512,"2005",57.7774,-121.7027,606.905517578125
39513,"2005",57.6788,-121.591,617.159729003906
39514,"2005",59.3362,-121.5209,636.174682617188
39515,"2005",58.2908,-122.3659,592.857482910156
39516,"2005",59.026,-120.4881,606.784851074219
39517,"2005",59.9426,-123.2958,481.019378662109
39518,"2005",59.0484,-124.2904,842.002868652344
39519,"2005",58.5129,-123.8396,609.066650390625
39520,"2005",59.5198,-124.2043,377.664611816406
39521,"2005",59.046,-121.0529,623
39522,"2005",58.0376,-123.577,927.736450195312
39523,"2005",59.3179,-120.4516,643.144653320312
39524,"2005",58.9877,-122.8342,549.840881347656
39525,"2005",59.6482,-124.0285,375.317077636719
39526,"2005",59.029,-121.8676,509.867706298828
39527,"2005",57.5099,-122.6957,1062.79321289062
39528,"2005",58.1332,-120.6044,479.090057373047
39529,"2005",59.8107,-122.0675,463.474731445312
39530,"2005",59.4924,-122.4659,687.668640136719
39531,"2005",58.8493,-120.7985,504.606475830078
39532,"2005",57.389,-120.0504,796.378234863281
39533,"2005",58.0353,-123.0565,994.630126953125
39534,"2005",59.9328,-121.4682,514.593811035156
39535,"2005",58.121,-121.9353,557.811950683594
39536,"2005",59.1112,-122.6083,358.033416748047
39537,"2005",59.3991,-123.4177,430.952697753906
39538,"2005",58.9009,-124.3825,786.497436523438
39539,"2005",59.4558,-121.3402,559.221313476562
39540,"2005",58.9052,-123.504,571.276245117188
39541,"2005",58.4632,-121.84,434.227142333984
39542,"2005",57.6719,-120.2833,676.387329101562
39543,"2005",57.6933,-121.5983,628.036193847656
39544,"2005",58.1534,-122.4615,607.809265136719
39545,"2005",59.6387,-120.3786,465.175323486328
39546,"2005",59.5898,-121.9326,618.770751953125
39547,"2005",58.0935,-120.2969,576.33544921875
39548,"2005",59.9195,-124.3159,555.524780273438
39549,"2005",56.7814,-120.6394,724.405944824219
39550,"2005",58.7737,-122.1766,402.697570800781
39551,"2005",57.4079,-122.1622,1040.31665039062
39552,"2005",57.9701,-121.6545,670.93212890625
39553,"2005",59.6876,-120.4629,477.534484863281
39554,"2005",59.1343,-123.2399,391.123992919922
39555,"2005",58.4534,-120.276,415.581787109375
39556,"2005",57.9462,-121.0115,510.080841064453
39557,"2005",58.4163,-120.4254,427.596801757812
39558,"2005",59.9111,-122.2501,452.403503417969
39559,"2005",58.4834,-122.8311,350.750183105469
39560,"2005",58.5228,-120.7459,389.383575439453
39561,"2005",56.6892,-120.1097,780.268432617188
39562,"2005",59.9852,-123.9336,407.0048828125
39563,"2005",57.0056,-120.2383,751.350402832031
39564,"2005",58.3682,-121.019,436.974578857422
39565,"2005",59.3447,-124.3306,535.733032226562
39566,"2005",59.483,-120.524,476.279602050781
39567,"2005",57.9662,-121.9869,660.951110839844
39568,"2005",59.9582,-121.244,573.75732421875
39569,"2005",59.3107,-121.1542,621.107727050781
39570,"2005",58.1424,-122.0458,549.923583984375
39571,"2005",58.1518,-120.0464,607.209655761719
39572,"2005",57.773,-120.4325,653.798767089844
39573,"2005",59.1661,-120.428,642.594360351562
39574,"2005",56.8955,-120.7826,698.185607910156
39575,"2005",59.5695,-122.2207,658.395080566406
39576,"2005",58.128,-121.7082,497.493896484375
39577,"2005",58.7241,-122.0689,440.255981445312
39578,"2005",59.7507,-120.5847,475.569152832031
39579,"2005",59.9267,-123.4988,466.964050292969
39580,"2005",58.4395,-120.0721,443.408294677734
39581,"2005",59.1364,-121.7703,537.4609375
39582,"2005",57.466,-122.0845,621.348999023438
39583,"2005",59.5148,-120.9829,497.327423095703
39584,"2005",59.6475,-120.3076,464
39585,"2005",58.9927,-122.5554,382.104858398438
39586,"2005",57.1769,-122.8516,1106.02905273438
39587,"2005",59.2022,-122.4178,426.818450927734
39588,"2005",58.6594,-120.7762,381
39589,"2005",57.8557,-122.6458,752.086120605469
39590,"2005",59.8591,-121.463,481.894409179688
39591,"2005",58.704,-123.3785,609.466796875
39592,"2005",58.1902,-121.3792,478.432647705078
39593,"2005",58.7231,-120.023,350.613647460938
39594,"2005",58.7779,-122.1011,428.819702148438
39595,"2005",58.1497,-120.3576,516.459899902344
39596,"2005",56.8051,-120.2092,757.476135253906
39597,"2005",58.2105,-123.6419,732.910034179688
39598,"2005",57.7209,-120.6883,658.236511230469
39599,"2005",59.5191,-123.3389,431.871002197266
39600,"2005",59.6483,-123.9369,236.294906616211
39601,"2005",57.432,-120.5082,873.295532226562
39602,"2005",59.3939,-124.0177,396.133453369141
39603,"2005",59.0864,-124.6931,588.4873046875
39604,"2005",59.4658,-124.5055,659.221557617188
39605,"2005",57.604,-120.2914,784.453186035156
39606,"2005",59.3136,-121.6881,678.418518066406
39607,"2005",58.7574,-122.4694,410.657440185547
39608,"2005",59.9278,-121.7175,469.244110107422
39609,"2005",58.423,-120.681,401.515960693359
39610,"2005",58.903,-125.0658,617.070617675781
39611,"2005",59.6881,-123.0624,650.848205566406
39612,"2005",59.8031,-124.1009,537.086853027344
39613,"2005",59.5081,-123.2167,481.801940917969
39614,"2005",59.2255,-122.5019,434.853729248047
39615,"2005",59.0351,-123.0927,422.621917724609
39616,"2005",59.8638,-122.1525,458.419311523438
39617,"2005",59.6868,-123.3591,547.79296875
39618,"2005",58.6736,-122.5497,405.450561523438
39619,"2005",59.1987,-121.5242,690.929443359375
39620,"2005",59.9765,-121.9978,453.059417724609
39621,"2005",59.9917,-124.1383,359.920318603516
39622,"2005",57.7365,-120.4825,653.53515625
39623,"2005",58.4688,-121.9098,434.475738525391
39624,"2005",58.3068,-121.2128,435.400329589844
39625,"2005",57.5704,-121.7382,775.373901367188
39626,"2005",57.4798,-120.9834,776.4423828125
39627,"2005",59.4172,-123.6001,434.442779541016
39628,"2005",59.1846,-123.9227,593.2470703125
39629,"2005",59.169,-124.7239,429.901550292969
39630,"2005",58.9481,-123.226,513.090637207031
39631,"2005",59.8933,-124.5672,595.627624511719
39632,"2005",58.0684,-120.729,500.281768798828
39633,"2005",59.5585,-121.9182,607.108764648438
39634,"2005",59.4918,-120.9836,506.020904541016
39635,"2005",59.9905,-120.4139,540.144836425781
39636,"2005",57.2081,-122.9176,1059.73889160156
39637,"2005",56.7595,-120.2062,753.978271484375
39638,"2005",58.0208,-121.2595,507.984649658203
39639,"2005",57.8328,-120.8911,568.854797363281
39640,"2005",59.9849,-124.0661,384.911529541016
39641,"2005",59.0005,-120.6127,673.869018554688
39642,"2005",57.6372,-121.8639,822.532409667969
39643,"2005",58.6525,-122.0737,444.322387695312
39644,"2005",59.6309,-120.698,457.875183105469
39645,"2005",59.8517,-120.9955,528.569091796875
39646,"2005",59.9123,-123.6214,467.088623046875
39647,"2005",57.9368,-122.8977,570.423217773438
39648,"2005",59.3638,-120.5761,664.260864257812
39649,"2005",57.3855,-120.2715,883.638427734375
39650,"2005",58.6713,-121.6836,454.276733398438
39651,"2005",57.6259,-120.3665,693.159057617188
39652,"2005",58.7032,-120.4733,350.895263671875
39653,"2005",57.944,-120.7577,538.966613769531
39654,"2005",57.1832,-121.1704,732.187438964844
39655,"2005",59.1773,-120.8651,645.71875
39656,"2005",59.4231,-120.3421,456.979156494141
39657,"2005",57.553,-121.7676,784.007263183594
39658,"2005",57.8799,-122.8731,752.107299804688
39659,"2005",57.2599,-120.0092,778.22802734375
39660,"2005",59.7497,-123.1624,485.172668457031
39661,"2005",59.1801,-123.2865,340.494232177734
39662,"2005",56.8128,-120.3873,723.043273925781
39663,"2005",57.8573,-122.9229,920.818176269531
39664,"2005",59.0808,-123.857,718.752258300781
39665,"2005",58.0088,-120.7267,518.670288085938
39666,"2005",59.8945,-120.7369,558.183898925781
39667,"2005",57.9932,-121.0165,500.341583251953
39668,"2005",59.5768,-121.6538,545.334106445312
39669,"2005",57.0995,-122.1768,918.431518554688
39670,"2005",58.3926,-123.0634,611.888854980469
39671,"2005",59.1571,-121.7768,535.809387207031
39672,"2005",58.0273,-120.464,562.989624023438
39673,"2005",57.8304,-122.0552,571.24951171875
39674,"2005",58.8487,-125.2816,727.809204101562
39675,"2005",56.9823,-120.53,699.432434082031
39676,"2005",59.4733,-122.1425,684.7109375
39677,"2005",57.3994,-121.6799,957.574523925781
39678,"2005",56.9712,-120.1357,756.341796875
39679,"2005",57.8664,-123.2573,792.954833984375
39680,"2005",59.0475,-123.8361,818.747253417969
39681,"2005",57.6487,-121.5377,685.908813476562
39682,"2005",59.8745,-121.9406,365.199279785156
39683,"2005",58.1779,-123.1235,593.707092285156
39684,"2005",59.4225,-123.4563,420.896392822266
39685,"2005",59.188,-123.2839,336.366821289062
39686,"2005",58.6165,-120.2605,369.251403808594
39687,"2005",58.8191,-123.8407,493.8779296875
39688,"2005",58.6368,-122.2867,416.724670410156
39689,"2005",58.3938,-122.2695,496.844177246094
39690,"2005",59.851,-120.7668,538.615783691406
39691,"2005",58.8057,-120.3059,350.527313232422
39692,"2005",59.2003,-121.1297,648.724243164062
39693,"2005",57.4432,-121.6735,984.840148925781
39694,"2005",58.1058,-120.3543,547.112609863281
39695,"2005",59.6386,-123.2458,548.863159179688
39696,"2005",58.9283,-122.4016,378.832885742188
39697,"2005",58.4895,-121.7734,425.763061523438
