"","area_name","scenario","volume"
"1","Quesnel TSA Narcosli East Blk","chilcotin_bau_live_dead",725365.790767563
"2","Quesnel TSA Narcosli East Blk","chilcotin_scen1a_live_dead",724221.921708776
"3","Quesnel TSA Narcosli East Blk","chilcotin_scen2a_live_dead",727965.634261644
"4","Quesnel TSA Narcosli East Blk","chilcotin_scen3a_live_dead",724201.697353224
"5","Quesnel TSA Narcosli West Blk","chilcotin_bau_live_dead",305397.259379636
"6","Quesnel TSA Narcosli West Blk","chilcotin_scen1a_live_dead",296476.657718085
"7","Quesnel TSA Narcosli West Blk","chilcotin_scen2a_live_dead",275304.892695699
"8","Quesnel TSA Narcosli West Blk","chilcotin_scen3a_live_dead",296353.449941516
"9","Quesnel TSA South Kluskus Blk","chilcotin_bau_live_dead",97139.445954023
"10","Quesnel TSA South Kluskus Blk","chilcotin_scen1a_live_dead",101064.702336497
"11","Quesnel TSA South Kluskus Blk","chilcotin_scen2a_live_dead",79749.1558104856
"12","Quesnel TSA South Kluskus Blk","chilcotin_scen3a_live_dead",101317.516875308
"13","Wms Lk TSA Anahim Block","chilcotin_bau_live_dead",84764.9939528479
"14","Wms Lk TSA Anahim Block","chilcotin_scen1a_live_dead",69270.8733888596
"15","Wms Lk TSA Anahim Block","chilcotin_scen2a_live_dead",9074.81101905502
"16","Wms Lk TSA Anahim Block","chilcotin_scen3a_live_dead",68141.0162301876
"17","Wms Lk TSA Chezacut Block","chilcotin_bau_live_dead",94281.2696180956
"18","Wms Lk TSA Chezacut Block","chilcotin_scen1a_live_dead",80570.9852548773
"19","Wms Lk TSA Chezacut Block","chilcotin_scen2a_live_dead",2877.88140306573
"20","Wms Lk TSA Chezacut Block","chilcotin_scen3a_live_dead",77751.0440150602
"21","Wms Lk TSA Kloacut Block","chilcotin_bau_live_dead",174090.911766203
"22","Wms Lk TSA Kloacut Block","chilcotin_scen1a_live_dead",163434.373007578
"23","Wms Lk TSA Kloacut Block","chilcotin_scen2a_live_dead",142439.35153476
"24","Wms Lk TSA Kloacut Block","chilcotin_scen3a_live_dead",163565.983333785
"25","Wms Lk TSA Palmer Lake Block","chilcotin_bau_live_dead",246201.99745762
"26","Wms Lk TSA Palmer Lake Block","chilcotin_scen1a_live_dead",224166.392483015
"27","Wms Lk TSA Palmer Lake Block","chilcotin_scen2a_live_dead",195544.713649282
"28","Wms Lk TSA Palmer Lake Block","chilcotin_scen3a_live_dead",224117.730714494
"29","Wms Lk TSA Tatla Block","chilcotin_bau_live_dead",58595.18401748
"30","Wms Lk TSA Tatla Block","chilcotin_scen1a_live_dead",47401.9864716514
"31","Wms Lk TSA Tatla Block","chilcotin_scen2a_live_dead",7410.19394073203
"32","Wms Lk TSA Tatla Block","chilcotin_scen3a_live_dead",48250.7186962181
"33",NA,"chilcotin_bau_live_dead",11.15551875
"34",NA,"chilcotin_scen1a_live_dead",11.15551875
"35",NA,"chilcotin_scen2a_live_dead",11.15551875
"36",NA,"chilcotin_scen3a_live_dead",11.15551875
