"DU","Season","Years Old","Coefficient","p-values","years"
"1","6","Early Winter","1",0.190360225020203,0.00684683383704726,1
"2","6","Early Winter","2",0.060278372249334,0.545191365494244,2
"3","6","Early Winter","3",-0.0226885694901087,0.895242563288827,3
"4","6","Early Winter","4",0.0132577918521817,0.934156709376348,4
"5","6","Early Winter","5",0.192261242179315,0.00153355801097473,5
"6","6","Early Winter","6",0.085057570908964,0.310517025695111,6
"7","6","Early Winter","7",-0.21229266067281,0.080602554496054,7
"8","6","Early Winter","8",0.786819088156551,0.000000000714299107112595,8
"9","6","Early Winter","9",0.636966566503104,0.00000000000000000266079962148781,9
"10","6","Early Winter","10",-0.0366167299281094,0.579919605302838,10
"11","6","Early Winter","11",-0.379604886061684,0.00362820041359513,11
"12","6","Early Winter","12",-0.49123541749199,0.0000603860245365921,12
"13","6","Early Winter","13",-0.503103331510208,0.0000647713334184649,13
"14","6","Early Winter","14",-0.761607856642461,0.00000167292229775592,14
"15","6","Early Winter","15",-0.218636864352385,0.582015214557387,15
"16","6","Early Winter","16",-0.0392495934844332,0.970480820853656,16
"17","6","Early Winter","17",0.0942854078145082,0.929721645545898,17
"18","6","Early Winter","18",NA,NA,18
"19","6","Early Winter","19",0.335476623820535,0.537132857728678,19
"20","6","Early Winter","20",0.690460222140679,0.0213458847900405,20
"21","6","Early Winter","21",-0.157036223890585,0.881563246503085,21
"22","6","Early Winter","22",0.525292791610356,0.0334622519654075,22
"23","6","Early Winter","23",0.205606604914723,0.405394887066024,23
"24","6","Early Winter","24",0.143084179935129,0.817242765299825,24
"25","6","Early Winter","25",1.01066195438893,0.0524059350031755,25
"26","6","Early Winter","26",-0.000726068118359041,0.996428295646489,26
"27","6","Early Winter","27",1.19665435949636,0.000000000000548908845083164,27
"28","6","Early Winter","28",NA,NA,28
"29","6","Early Winter","29",NA,NA,29
"30","6","Early Winter","30",0.238103157056092,0.0826308052831958,30
"31","6","Early Winter","31",-0.444976832126016,0.0778019678854797,31
"32","6","Early Winter","32",-0.30449440831555,0.276410624638345,32
"33","6","Early Winter","33",-0.336594893454924,0.0778333509905108,33
"34","6","Early Winter","34",-0.318252969001693,0.107510668612646,34
"35","6","Early Winter","35",-0.237431302829255,0.11739895750625,35
"36","6","Early Winter","36",-1.39395977292218,0.0520851611801174,36
