"DU","Season","Severity","Years Old","Coefficient","p-values","years"
"1","6","Early Winter","Moderate",1,-0.0838873337075368,0.487075081547701,1
"2","6","Early Winter","Moderate",2,-0.376736653666478,0.00800693324572913,2
"3","6","Early Winter","Moderate",3,-0.54738004699725,0.0000000415133900318348,3
"4","6","Early Winter","Moderate",4,-0.360053255637713,0.0121088413074543,4
"5","6","Early Winter","Moderate",5,-0.783103630252164,0.00163368824014359,5
"6","6","Early Winter","Moderate",6,0.248500802374243,0.445503198151746,6
"7","6","Early Winter","Moderate",7,-0.179037623155811,0.703781295945986,7
"8","6","Early Winter","Moderate",8,-6.52558492544124,0.797064984750204,8
"9","6","Early Winter","Moderate",9,NA,NA,9
"10","6","Early Winter","Severe",1,-0.157040946015527,0.833118291337646,1
"11","6","Early Winter","Severe",2,0.168399489005244,0.824545541959284,2
"12","6","Early Winter","Severe",3,-0.904213107117796,0.209358878814325,3
"13","6","Early Winter","Severe",4,-0.485568167197166,0.508364819117478,4
"14","6","Early Winter","Severe",5,0.941648530717764,0.102909789684959,5
"15","6","Early Winter","Severe",6,NA,NA,6
"16","6","Early Winter","Severe",7,NA,NA,7
"17","6","Early Winter","Severe",8,NA,NA,8
"18","6","Early Winter","Severe",8,NA,NA,8
"19","6","Early Winter","Very Severe",1,NA,NA,1
"20","6","Early Winter","Very Severe",2,NA,NA,2
"21","6","Early Winter","Very Severe",3,NA,NA,3
"22","6","Early Winter","Very Severe",4,NA,NA,4
"23","6","Early Winter","Very Severe",5,NA,NA,5
"24","6","Late Winter","Moderate",1,0.0462799035771946,0.527542570035339,1
"25","6","Late Winter","Moderate",2,0.407402086384588,0.000000000235803588225897,2
"26","6","Late Winter","Moderate",3,-0.489721081999122,0.0000000025635633583178,3
"27","6","Late Winter","Moderate",4,-0.72897111732172,0.0000141010513999152,4
"28","6","Late Winter","Moderate",5,-0.96538927398142,0.000312795275960899,5
"29","6","Late Winter","Moderate",6,-0.884003935622156,0.00100508604396999,6
"30","6","Late Winter","Moderate",7,-0.883812584354517,0.0576047844330616,7
"31","6","Late Winter","Moderate",8,-7.98160928702306,0.70278593210964,8
"32","6","Late Winter","Moderate",9,-0.207380659568554,0.847689603408193,9
"33","6","Late Winter","Severe",1,-1.41122450063304,0.164743383020429,1
"34","6","Late Winter","Severe",2,-0.666604976032516,0.364321968295954,2
"35","6","Late Winter","Severe",3,-1.30598789858447,0.0705899366778039,3
"36","6","Late Winter","Severe",4,-0.900563172220315,0.220757943626558,4
"37","6","Late Winter","Severe",5,-6.98140219611949,0.697229263488326,5
"38","6","Late Winter","Severe",6,NA,NA,6
"39","6","Late Winter","Severe",7,NA,NA,7
"40","6","Late Winter","Severe",8,NA,NA,8
"41","6","Late Winter","Severe",9,NA,NA,9
"42","6","Late Winter","Very Severe",1,NA,NA,1
"43","6","Late Winter","Very Severe",2,NA,NA,2
"44","6","Late Winter","Very Severe",3,NA,NA,3
"45","6","Late Winter","Very Severe",4,NA,NA,4
"46","6","Late Winter","Very Severe",5,NA,NA,5
"47","6","Summer","Moderate",1,-0.452841803548848,0.000279516365524192,1
"48","6","Summer","Moderate",2,-0.63229999367641,0.000000551286116000244,2
