"","species","population","season","bounds","static","beta","layer","type","sql","reclass","mean","sdev"
"131","caribou","DU8","S","rast.du8_bounds","Y",1,"bec_current","RC","rast.bec_current","''1:0.6417,2:0.6417,3-6:0,7:-0.9283,8:0,9:-0.9048,10-41:0,42:0.0945,43:0.1301,44-52:0,53:0.0834,54-55:0,56:-0.7491,57-122:0,123:-0.4990,124-129:0''",0,1
"132","caribou","DU8","S","rast.du8_bounds","Y",-0.21863,"map","UP","rast.map","",1271.48,313.96
"133","caribou","DU7","EW","rast.du7_bounds","Y",-2.07,"int","","","",0,1
"134","caribou","DU7","EW","rast.du7_bounds","Y",-0.35,"bc_ha_slope","","rast.bc_ha_slope","",8.96,11.24
"135","caribou","DU7","EW","rast.du7_bounds","Y",-0.18,"dt_watercourses","DT","rast.dt_watercourses","",12265.56,9651.81
"136","caribou","DU7","EW","rast.du7_bounds","Y",0.02,"dt_waterbodies","DT","rast.dt_waterbodies","",3228.73,3137.24
"137","caribou","DU7","EW","rast.du7_bounds","Y",0.54,"dem","","rast.dem","",1365.56,276.69
"138","caribou","DU7","EW","rast.du7_bounds","N",-0.23,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",40506.96,41225.4
"139","caribou","DU7","EW","rast.du7_bounds","N",0.05,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",22820.57,19214.23
"140","caribou","DU7","EW","rast.du7_bounds","N",-0.14,"blocks_10_60","DT","blockid > 0 AND age BETWEEN 10 AND 60","",13974.75,15863.16
"141","caribou","DU7","EW","rast.du7_bounds","Y",0.05,"dt_crds_paved","DT","rast.dt_crds_paved","",20824.17,12261.22
"142","caribou","DU7","EW","rast.du7_bounds","N",0.06,"dt_crds_resource","DT","roadyear >= 0","",5981.6,7118.27
"143","caribou","DU7","EW","rast.du7_bounds","Y",0.41,"dt_pipelines","DT","rast.dt_pipelines","",84103.35,57787.66
"144","caribou","DU7","EW","rast.du7_bounds","Y",0.04,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"145","caribou","DU7","EW","rast.du7_bounds","Y",0.2,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"146","caribou","DU7","EW","rast.du7_bounds","Y",-0.32,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"147","caribou","DU7","EW","rast.du7_bounds","Y",-0.08,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"148","caribou","DU7","EW","rast.du7_bounds","Y",-0.26,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"149","caribou","DU7","EW","rast.du7_bounds","Y",-0.4,"ppt_snow_winter","UP","rast.ppt_snow_winter","",145.52,53.21
"150","caribou","DU7","EW","rast.du7_bounds","Y",-0.16,"tave_wt","UP","rast.tave_wt","",-8.83,1.92
"151","caribou","DU7","EW","rast.du7_bounds","N",-0.02,"age","UP","age","",118.68,64.19
"152","caribou","DU7","EW","rast.du7_bounds","N",-0.12,"crownclosure","UP","crownclosure","",26.55,19.22
"153","caribou","DU7","EW","rast.du7_bounds","Y",0.08,"vri2017_herbcoverpct","UP","rast.vri2017_herbcoverpct","",14.92,18.11
"154","caribou","DU7","EW","rast.du7_bounds","Y",-0.01,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",12.81,15.25
"155","caribou","DU7","EW","rast.du7_bounds","Y",0.12,"vri2017_bryoidcoverpct","UP","rast.vri2017_bryoidcoverpct","",5.64,9.84
"156","caribou","DU7","LW","rast.du7_bounds","Y",-1.63723,"int","","","",0,1
"157","caribou","DU7","LW","rast.du7_bounds","Y",-0.3336,"bc_ha_slope","","rast.bc_ha_slope","",10.38,11.21
"158","caribou","DU7","LW","rast.du7_bounds","Y",-0.14484,"dt_watercourses","DT","rast.dt_watercourses","",7503.31,6691.42
"159","caribou","DU7","LW","rast.du7_bounds","Y",0.05753,"dt_waterbodies","DT","rast.dt_waterbodies","",3721.39,3577.95
"160","caribou","DU7","LW","rast.du7_bounds","Y",0.62338,"dem","","rast.dem","",1253.91,315.65
"161","caribou","DU7","LW","rast.du7_bounds","N",-0.23203,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",40847.28,43498.42
"162","caribou","DU7","LW","rast.du7_bounds","N",-0.12232,"blocks_5_60","DT","blockid > 0 AND age BETWEEN 5 AND 60","",17357.5,25323.27
"163","caribou","DU7","LW","rast.du7_bounds","N",0.0549,"dt_crds_resource","DT","roadyear >= 0","",4305.23,5754.29
"164","caribou","DU7","LW","rast.du7_bounds","Y",-0.03995,"dt_crds_paved","DT","rast.dt_crds_paved","",17758.43,12549.83
"165","caribou","DU7","LW","rast.du7_bounds","Y",-0.07823,"dt_pipelines","DT","rast.dt_pipelines","",74169.2,58711.5
"166","caribou","DU7","LW","rast.du7_bounds","Y",0.06174,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"167","caribou","DU7","LW","rast.du7_bounds","Y",0.38404,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"168","caribou","DU7","LW","rast.du7_bounds","Y",0.14815,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"169","caribou","DU7","LW","rast.du7_bounds","Y",-0.27892,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"170","caribou","DU7","LW","rast.du7_bounds","Y",0.01433,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"171","caribou","DU7","LW","rast.du7_bounds","N",-0.0463,"age","UP","age","",106.37,69.28
"172","caribou","DU8","S","rast.du8_bounds","Y",-0.20115,"vri2017_siteindex","","rast.vri2017_siteindex","",6.13,4.21
"173","caribou","DU7","LW","rast.du7_bounds","N",-0.12244,"crownclosure","UP","crownclosure","",24.52,19.58
"174","caribou","DU7","LW","rast.du7_bounds","Y",-0.10422,"tave_wt","UP","rast.tave_wt","",-9.27,2.12
"175","caribou","DU7","LW","rast.du7_bounds","Y",-0.45722,"ppt_snow_winter","UP","rast.ppt_snow_winter","",126.93,55.87
"176","caribou","DU7","S","rast.du7_bounds","Y",-1.016,"int","","","",0,1
"177","caribou","DU7","S","rast.du7_bounds","Y",-0.41,"bc_ha_slope","","rast.bc_ha_slope","",14.62,12.18
"178","caribou","DU7","S","rast.du7_bounds","Y",-0.259,"dt_watercourses","DT","rast.dt_watercourses","",10313.19,8916.28
"179","caribou","DU7","S","rast.du7_bounds","Y",0.005,"dt_waterbodies","DT","rast.dt_waterbodies","",3526.87,2943.8
"180","caribou","DU7","S","rast.du7_bounds","Y",0.745,"dem","","rast.dem","",1558.78,316.76
"181","caribou","DU7","S","rast.du7_bounds","N",-0.032,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",49411.92,44659.35
"182","caribou","DU7","S","rast.du7_bounds","N",0.029,"blocks_5_60","DT","blockid > 0 AND age BETWEEN 5 AND 60","",22547.88,21144.26
"183","caribou","DU7","S","rast.du7_bounds","N",0.038,"dt_crds_resource","DT","roadyear >= 0","",7932.55,7522.24
"184","caribou","DU7","S","rast.du7_bounds","Y",-0.016,"dt_crds_paved","DT","rast.dt_crds_paved","",23334.3,12985.42
"185","caribou","DU7","S","rast.du7_bounds","Y",-0.017,"dt_pipelines","DT","rast.dt_pipelines","",81717.07,57816.89
"186","caribou","DU7","S","rast.du7_bounds","Y",-0.174,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"187","caribou","DU7","S","rast.du7_bounds","Y",-0.095,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"188","caribou","DU7","S","rast.du7_bounds","Y",0.454,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"189","caribou","DU7","S","rast.du7_bounds","Y",-0.378,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"190","caribou","DU7","S","rast.du7_bounds","Y",0.07,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"191","caribou","DU7","S","rast.du7_bounds","N",-0.14,"age","UP","age","",95.43,83.95
"192","caribou","DU7","S","rast.du7_bounds","Y",0.049,"vri2017_bryoidcoverpct","UP","rast.vri2017_bryoidcoverpct","",4.4,9.16
"193","caribou","DU7","S","rast.du7_bounds","Y",0.103,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",12.45,16.13
"194","caribou","DU7","S","rast.du7_bounds","Y",0.449,"mat","UP","rast.mat","",-0.43,1.52
"195","caribou","DU7","S","rast.du7_bounds","Y",0.013,"map","UP","rast.map","",850.99,274.19
"196","caribou","DU9","EW","rast.du9_bounds","Y",-2.82,"int","","","",0,1
"197","caribou","DU9","EW","rast.du9_bounds","Y",-0.4,"bc_ha_slope","","rast.bc_ha_slope","",22,12
"198","caribou","DU9","EW","rast.du9_bounds","Y",0.14,"dt_watercourses","DT","rast.dt_watercourses","",6862,3754
"199","caribou","DU9","EW","rast.du9_bounds","Y",-0.16,"dt_waterbodies","DT","rast.dt_waterbodies","",2296,1553
"200","caribou","DU9","EW","rast.du9_bounds","Y",1.92,"dem","","rast.dem","",1681,317
"201","caribou","DU9","EW","rast.du9_bounds","N",-0.88,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",8537,8896
"202","caribou","DU9","EW","rast.du9_bounds","N",0.1,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",6425,5271
