"","X.1","X","distance_to_resource_road","distance_to_cut_1to4","distance_to_cut_5to40","distance_to_cut_5to9","distance_to_cut_10to40","HERD_NAME","animal_id","predict_du7","predict_du8","predict_du9","predict_du6"
"1",1,1,0,5,5,5,5,"Population","new",0.187854543,0.108237131564126,0.0737400979385408,0.170101767744327
"2",2,2,1,5,5,5,5,"Population","new",0.19697165,0.122799562589012,0.0846559194787583,0.196366816949607
"3",3,3,2,5,5,5,5,"Population","new",0.206418773,0.139015824741802,0.0970183705452863,0.22558501180058
"4",4,4,3,5,5,5,5,"Population","new",0.21619701,0.156990274035675,0.110967273852423,0.257756288693534
"5",5,5,4,5,5,5,5,"Population","new",0.226306359,0.176811513240668,0.126640425723614,0.292781012007839
"6",6,6,5,5,5,5,5,"Population","new",0.236745639,0.198545927894387,0.14416829290264,0.330446181786781
"7",7,7,6,5,5,5,5,"Population","new",0.247512418,0.222230770820369,0.163667505154725,0.370418923270327
"8",8,8,7,5,5,5,5,"Population","new",0.258602948,0.247867197429126,0.185233232427199,0.412249846249994
"9",9,9,8,5,5,5,5,"Population","new",0.270012106,0.275413790162025,0.208930691414843,0.455387786976603
"10",10,10,9,5,5,5,5,"Population","new",0.281733342,0.30478122030615,0.234786216680362,0.499205755485285
"11",11,11,10,5,5,5,5,"Population","new",0.293758641,0.335828749471548,0.262778537528372,0.543035927109335
"12",12,12,11,5,5,5,5,"Population","new",0.306078492,0.368363241890842,0.292831091709099,0.586209735761769
"13",13,13,12,5,5,5,5,"Population","new",0.318681878,0.40214122114518,0.324806336923534,0.628098061298174
"14",14,14,13,5,5,5,5,"Population","new",0.331556269,0.436874256736582,0.358503041821044,0.668146483250262
"15",15,15,14,5,5,5,5,"Population","new",0.34468764,0.472237626789728,0.39365740709539,0.705901604767209
"16",16,16,15,5,5,5,5,"Population","new",0.3580605,0.507881818102972,0.42994856384718,0.741026214323039
"17",17,17,16,5,5,5,5,"Population","new",0.371657936,0.543446057914908,0.467008536574005,0.773303038837093
"18",18,18,17,5,5,5,5,"Population","new",0.385461678,0.57857279260341,0.504436201427723,0.802628549318642
"19",19,19,18,5,5,5,5,"Population","new",0.39945218,0.6129218941357,0.541814213410577,0.828999380470842
"20",20,20,19,5,5,5,5,"Population","new",0.413608708,0.646183413997509,0.578727431907356,0.852494326962815
"21",21,21,20,5,5,5,5,"Population","new",0.427909462,0.678087908211302,0.614781140878896,0.873254689284367
"22",22,22,21,5,5,5,5,"Population","new",0.442331689,0.708413683155192,0.64961739231846,0.891465176363301
"23",23,23,22,5,5,5,5,"Population","new",0.45685183,0.736990695436582,0.682928091605928,0.907336857754169
"24",24,24,23,5,5,5,5,"Population","new",0.471445667,0.763701210859892,0.714463924327288,0.921092971893162
"25",25,25,24,5,5,5,5,"Population","new",0.486088478,0.788477630570945,0.744038791096028,0.932957841919399
"26",26,26,25,5,5,5,5,"Population","new",0.50075521,0.81129809265618,0.771529958279535,0.943148763609342
"27",27,27,26,5,5,5,5,"Population","new",0.515420642,0.832180546274538,0.796874559063358,0.951870502112811
"28",28,28,27,5,5,5,5,"Population","new",0.530059564,0.851175985574124,0.820063341809904,0.959311933067997
"29",29,29,28,5,5,5,5,"Population","new",0.544646947,0.868361448125668,0.841132654868054,0.96564435056369
"30",30,30,29,5,5,5,5,"Population","new",0.559158116,0.883833257719608,0.860155606086723,0.971021004268728
"31",31,31,30,5,5,5,5,"Population","new",0.573568912,0.897700851903274,0.877233186786091,0.975577493860074
"32",32,32,0,5,5,5,5,"Itcha-Ilgachuz","new",0.296612826,0.108237131564126,0.0737400979385408,0.170101767744327
"33",33,33,1,5,5,5,5,"Itcha-Ilgachuz","new",0.302732511,0.122799562589012,0.0846559194787583,0.196366816949607
"34",34,34,2,5,5,5,5,"Itcha-Ilgachuz","new",0.308923003,0.139015824741802,0.0970183705452863,0.22558501180058
"35",35,35,3,5,5,5,5,"Itcha-Ilgachuz","new",0.315182863,0.156990274035675,0.110967273852423,0.257756288693534
"36",36,36,4,5,5,5,5,"Itcha-Ilgachuz","new",0.321510556,0.176811513240668,0.126640425723614,0.292781012007839
"37",37,37,5,5,5,5,5,"Itcha-Ilgachuz","new",0.327904457,0.198545927894387,0.14416829290264,0.330446181786781
"38",38,38,6,5,5,5,5,"Itcha-Ilgachuz","new",0.334362852,0.222230770820369,0.163667505154725,0.370418923270327
"39",39,39,7,5,5,5,5,"Itcha-Ilgachuz","new",0.340883934,0.247867197429126,0.185233232427199,0.412249846249994
"40",40,40,8,5,5,5,5,"Itcha-Ilgachuz","new",0.347465807,0.275413790162025,0.208930691414843,0.455387786976603
"41",41,41,9,5,5,5,5,"Itcha-Ilgachuz","new",0.354106489,0.30478122030615,0.234786216680362,0.499205755485285
"42",42,42,10,5,5,5,5,"Itcha-Ilgachuz","new",0.360803912,0.335828749471548,0.262778537528372,0.543035927109335
"43",43,43,11,5,5,5,5,"Itcha-Ilgachuz","new",0.367555922,0.368363241890842,0.292831091709099,0.586209735761769
"44",44,44,12,5,5,5,5,"Itcha-Ilgachuz","new",0.374360284,0.40214122114518,0.324806336923534,0.628098061298174
"45",45,45,13,5,5,5,5,"Itcha-Ilgachuz","new",0.381214685,0.436874256736582,0.358503041821044,0.668146483250262
"46",46,46,14,5,5,5,5,"Itcha-Ilgachuz","new",0.388116731,0.472237626789728,0.39365740709539,0.705901604767209
"47",47,47,15,5,5,5,5,"Itcha-Ilgachuz","new",0.395063959,0.507881818102972,0.42994856384718,0.741026214323039
"48",48,48,16,5,5,5,5,"Itcha-Ilgachuz","new",0.402053831,0.543446057914908,0.467008536574005,0.773303038837093
"49",49,49,17,5,5,5,5,"Itcha-Ilgachuz","new",0.409083742,0.57857279260341,0.504436201427723,0.802628549318642
"50",50,50,18,5,5,5,5,"Itcha-Ilgachuz","new",0.416151025,0.6129218941357,0.541814213410577,0.828999380470842
"51",51,51,19,5,5,5,5,"Itcha-Ilgachuz","new",0.423252949,0.646183413997509,0.578727431907356,0.852494326962815
"52",52,52,20,5,5,5,5,"Itcha-Ilgachuz","new",0.430386731,0.678087908211302,0.614781140878896,0.873254689284367
"53",53,53,21,5,5,5,5,"Itcha-Ilgachuz","new",0.437549531,0.708413683155192,0.64961739231846,0.891465176363301
"54",54,54,22,5,5,5,5,"Itcha-Ilgachuz","new",0.444738466,0.736990695436582,0.682928091605928,0.907336857754169
"55",55,55,23,5,5,5,5,"Itcha-Ilgachuz","new",0.451950605,0.763701210859892,0.714463924327288,0.921092971893162
"56",56,56,24,5,5,5,5,"Itcha-Ilgachuz","new",0.459182982,0.788477630570945,0.744038791096028,0.932957841919399
"57",57,57,25,5,5,5,5,"Itcha-Ilgachuz","new",0.466432594,0.81129809265618,0.771529958279535,0.943148763609342
"58",58,58,26,5,5,5,5,"Itcha-Ilgachuz","new",0.473696411,0.832180546274538,0.796874559063358,0.951870502112811
"59",59,59,27,5,5,5,5,"Itcha-Ilgachuz","new",0.48097138,0.851175985574124,0.820063341809904,0.959311933067997
"60",60,60,28,5,5,5,5,"Itcha-Ilgachuz","new",0.488254426,0.868361448125668,0.841132654868054,0.96564435056369
"61",61,61,29,5,5,5,5,"Itcha-Ilgachuz","new",0.495542462,0.883833257719608,0.860155606086723,0.971021004268728
"62",62,62,30,5,5,5,5,"Itcha-Ilgachuz","new",0.502832392,0.897700851903274,0.877233186786091,0.975577493860074
"63",63,63,0,5,5,5,5,"Tweedsmuir","new",0.178164046,0.108237131564126,0.0737400979385408,0.170101767744327
"64",64,64,1,5,5,5,5,"Tweedsmuir","new",0.179434517,0.122799562589012,0.0846559194787583,0.196366816949607
"65",65,65,2,5,5,5,5,"Tweedsmuir","new",0.180712056,0.139015824741802,0.0970183705452863,0.22558501180058
"66",66,66,3,5,5,5,5,"Tweedsmuir","new",0.181996674,0.156990274035675,0.110967273852423,0.257756288693534
"67",67,67,4,5,5,5,5,"Tweedsmuir","new",0.18328838,0.176811513240668,0.126640425723614,0.292781012007839
"68",68,68,5,5,5,5,5,"Tweedsmuir","new",0.184587186,0.198545927894387,0.14416829290264,0.330446181786781
"69",69,69,6,5,5,5,5,"Tweedsmuir","new",0.1858931,0.222230770820369,0.163667505154725,0.370418923270327
"70",70,70,7,5,5,5,5,"Tweedsmuir","new",0.187206132,0.247867197429126,0.185233232427199,0.412249846249994
"71",71,71,8,5,5,5,5,"Tweedsmuir","new",0.188526291,0.275413790162025,0.208930691414843,0.455387786976603
"72",72,72,9,5,5,5,5,"Tweedsmuir","new",0.189853584,0.30478122030615,0.234786216680362,0.499205755485285
"73",73,73,10,5,5,5,5,"Tweedsmuir","new",0.191188021,0.335828749471548,0.262778537528372,0.543035927109335
"74",74,74,11,5,5,5,5,"Tweedsmuir","new",0.192529609,0.368363241890842,0.292831091709099,0.586209735761769
"75",75,75,12,5,5,5,5,"Tweedsmuir","new",0.193878353,0.40214122114518,0.324806336923534,0.628098061298174
"76",76,76,13,5,5,5,5,"Tweedsmuir","new",0.195234262,0.436874256736582,0.358503041821044,0.668146483250262
"77",77,77,14,5,5,5,5,"Tweedsmuir","new",0.196597341,0.472237626789728,0.39365740709539,0.705901604767209
"78",78,78,15,5,5,5,5,"Tweedsmuir","new",0.197967595,0.507881818102972,0.42994856384718,0.741026214323039
"79",79,79,16,5,5,5,5,"Tweedsmuir","new",0.19934503,0.543446057914908,0.467008536574005,0.773303038837093
"80",80,80,17,5,5,5,5,"Tweedsmuir","new",0.200729651,0.57857279260341,0.504436201427723,0.802628549318642
