Herd,Intercept,Distance to Cutblock,Distance to Road
Burnt Pine,-1.806522343,-0.036318799,0.132461104
Kennedy Siding,-1.72024071,-0.169617992,0.35071811
Moberly,-1.810153601,-0.148094873,0.30365598
Narraway,-1.818634767,-0.065910989,0.291372466
Quintette,-1.758106017,0.011676969,0.19286076
Scott,-1.243523595,-0.062681267,0.163445968
