Herd,Intercept,Distance to Cutblock,Distance to Road
Hart Ranges,-0.962806568,-0.02449203,0.083057801
Nakusp,-2.424005425,0.167632166,0.007383807
South Selkirks,-2.539434073,-0.011249926,0.262386318
