"","X.1","X","distance_to_cut_5to9","distance_to_cut_10to40","distance_to_cut_1to4","distance_to_resource_road","HERD_NAME","animal_id","predict_du7","predict_du8","predict_du9","predict_du6"
"1",1,1,0,5,5,5,"Population","new",0.229629556,0.219248345609697,0.160764222472062,0.335570784931503
"2",2,2,1,5,5,5,"Population","new",0.231040675,0.21498694081835,0.157325908934623,0.334542712408595
"3",3,3,2,5,5,5,"Population","new",0.232457849,0.210786001162013,0.153947642322251,0.333516208544441
"4",4,4,3,5,5,5,"Population","new",0.233881073,0.206645540953792,0.150628950479938,0.332491280655258
"5",5,5,4,5,5,5,"Population","new",0.235310338,0.202565536636003,0.1473693390831,0.331467936001307
"6",6,6,5,5,5,5,"Population","new",0.236745639,0.198545927894387,0.14416829290264,0.330446181786781
"7",7,7,6,5,5,5,"Population","new",0.238186967,0.194586618792402,0.141025277049826,0.329426025159681
"8",8,8,7,5,5,5,"Population","new",0.239634316,0.190687478922269,0.137939738199324,0.328407473211709
"9",9,9,8,5,5,5,"Population","new",0.241087676,0.186848344569584,0.134911105788891,0.32739053297816
"10",10,10,9,5,5,5,"Population","new",0.242547038,0.183069019888395,0.131938793194354,0.326375211437819
"11",11,11,10,5,5,5,"Population","new",0.244012395,0.179349278083754,0.129022198878668,0.325361515512859
"12",12,12,11,5,5,5,"Population","new",0.245483735,0.175688862598903,0.126160707513977,0.324349452068745
"13",13,13,12,5,5,5,"Population","new",0.246961049,0.172087488304333,0.123353691075723,0.323339027914144
"14",14,14,13,5,5,5,"Population","new",0.248444326,0.168544842686123,0.120600509907993,0.322330249800836
"15",15,15,14,5,5,5,"Population","new",0.249933554,0.165060587031077,0.11790051375941,0.321323124423627
"16",16,16,15,5,5,5,"Population","new",0.251428724,0.16163435760629,0.115253042788983,0.32031765842027
"17",17,17,16,5,5,5,"Population","new",0.252929821,0.158265766830957,0.11265742854146,0.319313858371389
"18",18,18,17,5,5,5,"Population","new",0.254436834,0.154954404438315,0.110112994891816,0.318311730800405
"19",19,19,18,5,5,5,"Population","new",0.25594975,0.151699838625781,0.107619058958625,0.317311282173464
"20",20,20,19,5,5,5,"Population","new",0.257468556,0.148501617191458,0.105174931986145,0.316312518899377
"21",21,21,20,5,5,5,"Population","new",0.258993237,0.14535926865533,0.102779920195044,0.315315447329552
"22",22,22,21,5,5,5,"Population","new",0.260523779,0.142272303363577,0.100433325601779,0.31432007375794
"23",23,23,22,5,5,5,"Population","new",0.262060167,0.139240214574585,0.0981344468067077,0.313326404420981
"24",24,24,23,5,5,5,"Population","new",0.263602386,0.136262479525334,0.0958825797510936,0.312334445497547
"25",25,25,24,5,5,5,"Population","new",0.265150419,0.13333856047699,0.093677018443241,0.311344203108904
"26",26,26,25,5,5,5,"Population","new",0.266704251,0.130467905738615,0.091517055654033,0.310355683318663
"27",27,27,26,5,5,5,"Population","new",0.268263865,0.127649950668057,0.0894019835822304,0.309368892132739
"28",28,28,27,5,5,5,"Population","new",0.269829243,0.124884118649159,0.087331094489923,0.308383835499322
"29",29,29,28,5,5,5,"Population","new",0.271400367,0.122169822044569,0.0853036813085811,0.307400519308836
"30",30,30,29,5,5,5,"Population","new",0.27297722,0.119506463123497,0.0833190382161951,0.306418949393919
"31",31,31,30,5,5,5,"Population","new",0.274559781,0.116893434963897,0.0813764611860282,0.305439131529389
"32",32,32,0,5,5,5,"Itcha-Ilgachuz","new",0.311556379,0.219248345609697,0.160764222472062,0.335570784931503
"33",33,33,1,5,5,5,"Itcha-Ilgachuz","new",0.314790318,0.21498694081835,0.157325908934623,0.334542712408595
"34",34,34,2,5,5,5,"Itcha-Ilgachuz","new",0.318042317,0.210786001162013,0.153947642322251,0.333516208544441
"35",35,35,3,5,5,5,"Itcha-Ilgachuz","new",0.321312158,0.206645540953792,0.150628950479938,0.332491280655258
"36",36,36,4,5,5,5,"Itcha-Ilgachuz","new",0.324599616,0.202565536636003,0.1473693390831,0.331467936001307
"37",37,37,5,5,5,5,"Itcha-Ilgachuz","new",0.327904457,0.198545927894387,0.14416829290264,0.330446181786781
"38",38,38,6,5,5,5,"Itcha-Ilgachuz","new",0.331226446,0.194586618792402,0.141025277049826,0.329426025159681
"39",39,39,7,5,5,5,"Itcha-Ilgachuz","new",0.334565335,0.190687478922269,0.137939738199324,0.328407473211709
"40",40,40,8,5,5,5,"Itcha-Ilgachuz","new",0.337920876,0.186848344569584,0.134911105788891,0.32739053297816
"41",41,41,9,5,5,5,"Itcha-Ilgachuz","new",0.34129281,0.183069019888395,0.131938793194354,0.326375211437819
"42",42,42,10,5,5,5,"Itcha-Ilgachuz","new",0.344680875,0.179349278083754,0.129022198878668,0.325361515512859
"43",43,43,11,5,5,5,"Itcha-Ilgachuz","new",0.348084799,0.175688862598903,0.126160707513977,0.324349452068745
"44",44,44,12,5,5,5,"Itcha-Ilgachuz","new",0.351504309,0.172087488304333,0.123353691075723,0.323339027914144
"45",45,45,13,5,5,5,"Itcha-Ilgachuz","new",0.354939121,0.168544842686123,0.120600509907993,0.322330249800836
"46",46,46,14,5,5,5,"Itcha-Ilgachuz","new",0.358388949,0.165060587031077,0.11790051375941,0.321323124423627
"47",47,47,15,5,5,5,"Itcha-Ilgachuz","new",0.361853498,0.16163435760629,0.115253042788983,0.32031765842027
"48",48,48,16,5,5,5,"Itcha-Ilgachuz","new",0.365332468,0.158265766830957,0.11265742854146,0.319313858371389
"49",49,49,17,5,5,5,"Itcha-Ilgachuz","new",0.368825554,0.154954404438315,0.110112994891816,0.318311730800405
"50",50,50,18,5,5,5,"Itcha-Ilgachuz","new",0.372332446,0.151699838625781,0.107619058958625,0.317311282173464
"51",51,51,19,5,5,5,"Itcha-Ilgachuz","new",0.375852826,0.148501617191458,0.105174931986145,0.316312518899377
"52",52,52,20,5,5,5,"Itcha-Ilgachuz","new",0.379386373,0.14535926865533,0.102779920195044,0.315315447329552
"53",53,53,21,5,5,5,"Itcha-Ilgachuz","new",0.382932758,0.142272303363577,0.100433325601779,0.31432007375794
"54",54,54,22,5,5,5,"Itcha-Ilgachuz","new",0.386491648,0.139240214574585,0.0981344468067077,0.313326404420981
"55",55,55,23,5,5,5,"Itcha-Ilgachuz","new",0.390062707,0.136262479525334,0.0958825797510936,0.312334445497547
"56",56,56,24,5,5,5,"Itcha-Ilgachuz","new",0.39364559,0.13333856047699,0.093677018443241,0.311344203108904
"57",57,57,25,5,5,5,"Itcha-Ilgachuz","new",0.39723995,0.130467905738615,0.091517055654033,0.310355683318663
"58",58,58,26,5,5,5,"Itcha-Ilgachuz","new",0.400845433,0.127649950668057,0.0894019835822304,0.309368892132739
"59",59,59,27,5,5,5,"Itcha-Ilgachuz","new",0.404461682,0.124884118649159,0.087331094489923,0.308383835499322
"60",60,60,28,5,5,5,"Itcha-Ilgachuz","new",0.408088334,0.122169822044569,0.0853036813085811,0.307400519308836
"61",61,61,29,5,5,5,"Itcha-Ilgachuz","new",0.411725024,0.119506463123497,0.0833190382161951,0.306418949393919
"62",62,62,30,5,5,5,"Itcha-Ilgachuz","new",0.415371379,0.116893434963897,0.0813764611860282,0.305439131529389
"63",63,63,0,5,5,5,"Tweedsmuir","new",0.176124474,0.219248345609697,0.160764222472062,0.335570784931503
"64",64,64,1,5,5,5,"Tweedsmuir","new",0.17779226,0.21498694081835,0.157325908934623,0.334542712408595
"65",65,65,2,5,5,5,"Tweedsmuir","new",0.179472398,0.210786001162013,0.153947642322251,0.333516208544441
"66",66,66,3,5,5,5,"Tweedsmuir","new",0.181164915,0.206645540953792,0.150628950479938,0.332491280655258
"67",67,67,4,5,5,5,"Tweedsmuir","new",0.182869837,0.202565536636003,0.1473693390831,0.331467936001307
"68",68,68,5,5,5,5,"Tweedsmuir","new",0.184587186,0.198545927894387,0.14416829290264,0.330446181786781
"69",69,69,6,5,5,5,"Tweedsmuir","new",0.186316985,0.194586618792402,0.141025277049826,0.329426025159681
"70",70,70,7,5,5,5,"Tweedsmuir","new",0.188059256,0.190687478922269,0.137939738199324,0.328407473211709
"71",71,71,8,5,5,5,"Tweedsmuir","new",0.189814019,0.186848344569584,0.134911105788891,0.32739053297816
