Herd,Intercept,Distance to Resource Road,Distance to Cutblock 1 to 4 years old,Distance to Cutblock 5 to 9 years old
Hart Ranges,-2.16364404,0.054743662,0.007307419,-0.025707916
Nakusp,-2.734982477,0.101994525,0.040330704,-0.025707916
South Selkirks,-2.323586506,0.292656461,-0.042907134,-0.025707916
