Herd,Intercept,Distance to Resource Road,Distance to Cutblock 1 to 4 years old,Distance to Cutblock 5 to 9 years old,Distance to Cutblock 10 to 40 years old
Calendar,-1.446691,0.208784578,-0.004269603,-0.004645743,0.001976018
Chinchaga,-1.636838207,0.217557272,-0.005156273,-0.004502387,0.004232561
Maxhamish,-1.748309693,0.15339408,-0.002887802,-0.004735502,0.026304784
Parker,-1.639139344,0.1669773,-0.004764509,-0.004632027,0.053939951
Prophet,-1.579491182,0.156124563,-0.004547703,-0.004646205,0.013472476
Snake-Sahtaneh,-1.791719473,0.146330565,-0.005595178,-0.004525308,0.020489906
