"","X.1","X","distance_to_cut_1to4","distance_to_cut_5to40","distance_to_cut_5to9","distance_to_cut_10to40","distance_to_resource_road","HERD_NAME","animal_id","predict_du7","predict_du9","predict_du6","predict_du8"
"1",1,1,0,5,5,5,5,"Population","new",0.240012376,0.143156445538088,0.335492036643733,0.199436530848973
"2",2,2,1,5,5,5,5,"Population","new",0.239356569,0.143358340666257,0.334479808892497,0.199258170587582
"3",3,3,2,5,5,5,5,"Population","new",0.238701991,0.143560472823249,0.333469102575034,0.199079930171067
"4",4,4,3,5,5,5,5,"Population","new",0.238048643,0.143762842152764,0.332459924673809,0.198901809589857
"5",5,5,4,5,5,5,5,"Population","new",0.237396525,0.143965448798199,0.331452282118679,0.198723808834244
"6",6,6,5,5,5,5,5,"Population","new",0.236745639,0.14416829290264,0.330446181786781,0.198545927894387
"7",7,7,6,5,5,5,5,"Population","new",0.236095984,0.14437137460887,0.329441630502423,0.198368166760305
"8",8,8,7,5,5,5,5,"Population","new",0.235447563,0.14457469405936,0.328438635036981,0.198190525421882
"9",9,9,8,5,5,5,5,"Population","new",0.234800375,0.144778251396271,0.327437202108806,0.198013003868868
"10",10,10,9,5,5,5,5,"Population","new",0.234154421,0.144982046761454,0.326437338383117,0.197835602090875
"11",11,11,10,5,5,5,5,"Population","new",0.233509702,0.145186080296446,0.325439050471918,0.197658320077381
"12",12,12,11,5,5,5,5,"Population","new",0.232866219,0.145390352142469,0.324442344933902,0.197481157817727
"13",13,13,12,5,5,5,5,"Population","new",0.232223971,0.145594862440432,0.32344722827437,0.197304115301121
"14",14,14,13,5,5,5,5,"Population","new",0.23158296,0.145799611330924,0.322453706945148,0.197127192516635
"15",15,15,14,5,5,5,5,"Population","new",0.230943186,0.146004598954218,0.321461787344504,0.196950389453206
"16",16,16,15,5,5,5,5,"Population","new",0.23030465,0.146209825450267,0.32047147581708,0.196773706099639
"17",17,17,16,5,5,5,5,"Population","new",0.229667352,0.146415290958702,0.319482778653814,0.196597142444601
"18",18,18,17,5,5,5,5,"Population","new",0.229031293,0.146620995618836,0.318495702091876,0.196420698476627
"19",19,19,18,5,5,5,5,"Population","new",0.228396473,0.146826939569653,0.317510252314601,0.19624437418412
"20",20,20,19,5,5,5,5,"Population","new",0.227762893,0.147033122949816,0.316526435451427,0.196068169555345
"21",21,21,20,5,5,5,5,"Population","new",0.227130553,0.147239545897661,0.315544257577839,0.195892084578438
"22",22,22,21,5,5,5,5,"Population","new",0.226499454,0.147446208551196,0.314563724715314,0.195716119241398
"23",23,23,22,5,5,5,5,"Population","new",0.225869596,0.147653111048102,0.313584842831269,0.195540273532095
"24",24,24,23,5,5,5,5,"Population","new",0.225240979,0.147860253525729,0.312607617839014,0.195364547438262
"25",25,25,24,5,5,5,5,"Population","new",0.224613604,0.148067636121095,0.311632055597707,0.195188940947503
"26",26,26,25,5,5,5,5,"Population","new",0.223987472,0.148275258970886,0.310658161912312,0.195013454047287
"27",27,27,26,5,5,5,5,"Population","new",0.223362582,0.148483122211454,0.309685942533566,0.194838086724953
"28",28,28,27,5,5,5,5,"Population","new",0.222738935,0.148691225978816,0.308715403157938,0.194662838967705
"29",29,29,28,5,5,5,5,"Population","new",0.222116531,0.148899570408652,0.307746549427603,0.194487710762619
"30",30,30,29,5,5,5,5,"Population","new",0.221495371,0.149108155636304,0.306779386930413,0.194312702096637
"31",31,31,30,5,5,5,5,"Population","new",0.220875455,0.149316981796774,0.305813921199871,0.194137812956571
"32",32,32,0,5,5,5,5,"Itcha-Ilgachuz","new",0.345442067,0.143156445538088,0.335492036643733,0.199436530848973
"33",33,33,1,5,5,5,5,"Itcha-Ilgachuz","new",0.341898838,0.143358340666257,0.334479808892497,0.199258170587582
"34",34,34,2,5,5,5,5,"Itcha-Ilgachuz","new",0.338373165,0.143560472823249,0.333469102575034,0.199079930171067
"35",35,35,3,5,5,5,5,"Itcha-Ilgachuz","new",0.334865349,0.143762842152764,0.332459924673809,0.198901809589857
"36",36,36,4,5,5,5,5,"Itcha-Ilgachuz","new",0.331375684,0.143965448798199,0.331452282118679,0.198723808834244
"37",37,37,5,5,5,5,5,"Itcha-Ilgachuz","new",0.327904457,0.14416829290264,0.330446181786781,0.198545927894387
"38",38,38,6,5,5,5,5,"Itcha-Ilgachuz","new",0.324451948,0.14437137460887,0.329441630502423,0.198368166760305
"39",39,39,7,5,5,5,5,"Itcha-Ilgachuz","new",0.321018427,0.14457469405936,0.328438635036981,0.198190525421882
"40",40,40,8,5,5,5,5,"Itcha-Ilgachuz","new",0.317604159,0.144778251396271,0.327437202108806,0.198013003868868
"41",41,41,9,5,5,5,5,"Itcha-Ilgachuz","new",0.314209399,0.144982046761454,0.326437338383117,0.197835602090875
"42",42,42,10,5,5,5,5,"Itcha-Ilgachuz","new",0.310834397,0.145186080296446,0.325439050471918,0.197658320077381
"43",43,43,11,5,5,5,5,"Itcha-Ilgachuz","new",0.307479392,0.145390352142469,0.324442344933902,0.197481157817727
"44",44,44,12,5,5,5,5,"Itcha-Ilgachuz","new",0.304144619,0.145594862440432,0.32344722827437,0.197304115301121
