Coefficient,Coefficient Estimate,Std. Error,z-value,p-value
Intercept,-1.485817205,0.210639705,-7.053832522,1.74E-12
Distance to Resource Road,0.058681294,0.021133258,2.776727241,0.005490924
Distance to Cutblock 1 to 4 years old,-0.003598675,0.004784553,-0.752144492,0.45196417
Distance to Cutblock 5 to 40 years old,0.007959815,0.010263372,0.775555602,0.438011423
