Herd,Intercept,Distance to Resource Road,Distance to Cutblock 1 to 4 years old,Distance to Cutblock 5 to 9 years old,Distance to Cutblock 10 to 40 years old
Burnt Pine,-1.757817821,0.043963225,0.045717843,-0.08866491,-0.017075518
Kennedy Siding,-1.654779108,0.267778933,-0.007518377,-0.02096594,-0.196453289
Moberly,-1.671651073,0.182789283,-0.002790391,-0.056448581,-0.09476151
Narraway,-1.649650512,0.239219716,-0.049859603,0.0202318,-0.037418807
Quintette,-1.850885858,0.115387456,0.007659977,0.009824958,-0.009059679
Scott,-1.45938125,0.005323671,0.000543494,-0.013659582,-0.005672115
