Herd,Intercept,Distance to Resource Road,Distance to Cutblock 1 to 4 years old,Distance to Cutblock 5 to 40 years old
Charlotte Alplands,-0.994400978,0.199083439,0.002916703,-0.039693002
Chase,-1.213880508,0.049108733,-0.002781645,0.00376463
Finlay,-0.834871344,0.01966928,-0.003528678,-0.010281767
Frog,-1.230904684,0.024839213,-0.001040063,-0.008641252
Graham,-1.694706446,0.126579535,-0.019755355,0.017995979
Itcha-Ilgachuz,-0.860111617,0.029160317,-0.015708616,0.015034977
Muskwa,-3.014417372,0.016999406,0.00400182,0.011437863
Pink Mountain,-2.452414486,0.130381937,0.018002063,-0.025157982
Rainbows,-0.694064407,-0.006273924,-0.002182792,0.064217717
Spatsizi,-1.778323093,0.030932044,-0.003495634,0.018444262
Telkwa,-1.611815439,0.09384182,-0.009079608,0.048956751
Tsenaglode,-1.409971817,0.039946472,0.001034101,-0.003527299
Tweedsmuir,-1.510645378,0.008652695,-0.015089313,0.011451174
