Herd,Intercept,Distance to Cutblock,Distance to Road
Calendar,-1.110531573,-0.005331237,0.35429017
Chinchaga,-1.613449186,-0.002108497,0.374798917
Maxhamish,-1.526037135,0.015584785,0.335495879
Parker,-1.517385345,0.03579861,0.345615453
Prophet,-1.282958029,-0.000848508,0.335193419
Snake-Sahtaneh,-1.653854599,0.009112568,0.31580342
