distance_to_cut_5to40,distance_to_cut_1to4,distance_to_resource_road,HERD_NAME,animal_id,predict_du7
0,5,5,Population,new,0.229629556
1,5,5,Population,new,0.231040675
2,5,5,Population,new,0.232457849
3,5,5,Population,new,0.233881073
4,5,5,Population,new,0.235310338
5,5,5,Population,new,0.236745639
6,5,5,Population,new,0.238186967
7,5,5,Population,new,0.239634316
8,5,5,Population,new,0.241087676
9,5,5,Population,new,0.242547038
10,5,5,Population,new,0.244012395
11,5,5,Population,new,0.245483735
12,5,5,Population,new,0.246961049
13,5,5,Population,new,0.248444326
14,5,5,Population,new,0.249933554
15,5,5,Population,new,0.251428724
16,5,5,Population,new,0.252929821
17,5,5,Population,new,0.254436834
18,5,5,Population,new,0.25594975
19,5,5,Population,new,0.257468556
20,5,5,Population,new,0.258993237
21,5,5,Population,new,0.260523779
22,5,5,Population,new,0.262060167
23,5,5,Population,new,0.263602386
24,5,5,Population,new,0.265150419
25,5,5,Population,new,0.266704251
26,5,5,Population,new,0.268263865
27,5,5,Population,new,0.269829243
28,5,5,Population,new,0.271400367
29,5,5,Population,new,0.27297722
30,5,5,Population,new,0.274559781
0,5,5,Itcha-Ilgachuz,new,0.311556379
1,5,5,Itcha-Ilgachuz,new,0.314790318
2,5,5,Itcha-Ilgachuz,new,0.318042317
3,5,5,Itcha-Ilgachuz,new,0.321312158
4,5,5,Itcha-Ilgachuz,new,0.324599616
5,5,5,Itcha-Ilgachuz,new,0.327904457
6,5,5,Itcha-Ilgachuz,new,0.331226446
7,5,5,Itcha-Ilgachuz,new,0.334565335
8,5,5,Itcha-Ilgachuz,new,0.337920876
9,5,5,Itcha-Ilgachuz,new,0.34129281
10,5,5,Itcha-Ilgachuz,new,0.344680875
11,5,5,Itcha-Ilgachuz,new,0.348084799
12,5,5,Itcha-Ilgachuz,new,0.351504309
13,5,5,Itcha-Ilgachuz,new,0.354939121
14,5,5,Itcha-Ilgachuz,new,0.358388949
15,5,5,Itcha-Ilgachuz,new,0.361853498
16,5,5,Itcha-Ilgachuz,new,0.365332468
17,5,5,Itcha-Ilgachuz,new,0.368825554
18,5,5,Itcha-Ilgachuz,new,0.372332446
19,5,5,Itcha-Ilgachuz,new,0.375852826
20,5,5,Itcha-Ilgachuz,new,0.379386373
21,5,5,Itcha-Ilgachuz,new,0.382932758
22,5,5,Itcha-Ilgachuz,new,0.386491648
23,5,5,Itcha-Ilgachuz,new,0.390062707
24,5,5,Itcha-Ilgachuz,new,0.39364559
25,5,5,Itcha-Ilgachuz,new,0.39723995
26,5,5,Itcha-Ilgachuz,new,0.400845433
27,5,5,Itcha-Ilgachuz,new,0.404461682
28,5,5,Itcha-Ilgachuz,new,0.408088334
29,5,5,Itcha-Ilgachuz,new,0.411725024
30,5,5,Itcha-Ilgachuz,new,0.415371379
0,5,5,Tweedsmuir,new,0.176124474
1,5,5,Tweedsmuir,new,0.17779226
2,5,5,Tweedsmuir,new,0.179472398
3,5,5,Tweedsmuir,new,0.181164915
4,5,5,Tweedsmuir,new,0.182869837
5,5,5,Tweedsmuir,new,0.184587186
6,5,5,Tweedsmuir,new,0.186316985
