"scenario","compartment","timeperiod","herd_bounds","prop_age","prop_mature","prop_old","survival_rate","area"
"cg_bau_a3_rNA","Dawson_Creek_TSA",200,"Burnt_Pine HESR","0","0","1","0.869295693069959",4822
"cg_bau_a3_rNA","Dawson_Creek_TSA",0,"Burnt_Pine HEWSR","0","0","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",5,"Burnt_Pine HEWSR","0","0","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",10,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",15,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",20,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",25,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",30,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",35,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",40,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",45,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",50,"Burnt_Pine HEWSR","0","0.03125","0.96875","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",55,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",60,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",65,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",70,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",75,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",80,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",85,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",90,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",95,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",100,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",105,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",110,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",115,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",120,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",125,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",130,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",135,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",140,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",145,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
"cg_bau_a3_rNA","Dawson_Creek_TSA",150,"Burnt_Pine HEWSR","0","0","1","0.869295693069959",32
