scenario,compartment,timeperiod,critical_hab,dist500,dist500_per,dist,dist_per
itchas_bau_a3_rNA,Quesnel_TSA,0,Barkerville HEWSR,36186,67.56539761,12734,23.77653715
itchas_bau_a3_rNA,Quesnel_TSA,0,Barkerville Matrix,24633,89.22090623,9706,35.15520301
itchas_bau_a3_rNA,Quesnel_TSA,0,Itcha-Ilgachuz HEWSR,2343,8.801322264,214,0.803876639
itchas_bau_a3_rNA,Quesnel_TSA,0,Itcha-Ilgachuz LESR,7691,13.75775898,1932,3.455986262
itchas_bau_a3_rNA,Quesnel_TSA,0,Itcha-Ilgachuz LEWR,49213,31.26063978,9845,6.253652463
itchas_bau_a3_rNA,Quesnel_TSA,0,Itcha-Ilgachuz Matrix,193424,72.99349405,71497,26.98122179
itchas_bau_a3_rNA,Quesnel_TSA,0,Narrow Lake Matrix,7298,87.26533541,2774,33.1699151
itchas_bau_a3_rNA,Quesnel_TSA,0,North Cariboo HEWSR,375,98.16753927,116,30.36649215
itchas_bau_a3_rNA,Quesnel_TSA,0,North Cariboo Matrix,338,63.17757009,221,41.30841121
itchas_bau_a3_rNA,Quesnel_TSA,0,Wells Gray North HEWSR,4242,30.54655433,1056,7.604234176
itchas_bau_a3_rNA,Quesnel_TSA,0,Wells Gray North Matrix,10023,96.19925137,5899,56.61771763
itchas_bau_a3_rNA,Quesnel_TSA,5,Barkerville HEWSR,36333,67.83987154,12873,24.03607372
itchas_bau_a3_rNA,Quesnel_TSA,5,Barkerville Matrix,24682,89.39838458,9826,35.58984389
itchas_bau_a3_rNA,Quesnel_TSA,5,Itcha-Ilgachuz HEWSR,2343,8.801322264,214,0.803876639
itchas_bau_a3_rNA,Quesnel_TSA,5,Itcha-Ilgachuz LESR,7509,13.43219505,1898,3.395166628
itchas_bau_a3_rNA,Quesnel_TSA,5,Itcha-Ilgachuz LEWR,83695,53.16398608,22500,14.29224788
itchas_bau_a3_rNA,Quesnel_TSA,5,Itcha-Ilgachuz Matrix,212655,80.25080381,77237,29.14735762
itchas_bau_a3_rNA,Quesnel_TSA,5,Narrow Lake Matrix,7334,87.69580294,2777,33.2057874
itchas_bau_a3_rNA,Quesnel_TSA,5,North Cariboo HEWSR,376,98.42931937,121,31.67539267
itchas_bau_a3_rNA,Quesnel_TSA,5,North Cariboo Matrix,338,63.17757009,221,41.30841121
itchas_bau_a3_rNA,Quesnel_TSA,5,Wells Gray North HEWSR,4245,30.56815727,1059,7.625837114
itchas_bau_a3_rNA,Quesnel_TSA,5,Wells Gray North Matrix,10023,96.19925137,5894,56.56972838
