scenario,timeperiod,compartment,target,area,volume,age,hsize,avail_thlb,transition_area,transition_volume
itchas_bau_a3_rNA,5,Quesnel_TSA,1660000,7323.778003,1659995.989,110.0910647,1.350752122,100810.3901,2948.724001,943182.5827
itchas_bau_a3_rNA,10,Quesnel_TSA,1660000,8630.089004,1659973.3,110.1619486,1.418489317,88195.06006,1535.092001,292167.7732
itchas_bau_a3_rNA,15,Quesnel_TSA,1660000,8880.619004,1659984.688,99.87022403,2.207461845,80288.63506,3034.704001,504267.2887
itchas_bau_a3_rNA,20,Quesnel_TSA,1660000,9146.117006,1659951.421,98.14491342,1.740128806,74767.66006,4031.628002,591838.8299
itchas_bau_a3_rNA,25,Quesnel_TSA,1660000,9784.166004,1659999.376,79.9662888,2.955048627,76508.46006,6246.998003,904713.7487
itchas_bau_a3_rNA,30,Quesnel_TSA,1660000,10239.65761,1659953.97,76.0259535,2.376341983,77016.52005,7386.800603,1055957.139
itchas_bau_a3_rNA,35,Quesnel_TSA,1660000,10459.763,1659969.53,71.80968393,2.243621408,73389.44005,7997.044003,1133942.764
itchas_bau_a3_rNA,40,Quesnel_TSA,1660000,10463.5876,1659996.869,79.01920064,2.523170389,67827.26504,7485.159603,1071739.601
itchas_bau_a3_rNA,45,Quesnel_TSA,1660000,10525.4848,1659975.605,73.26773385,2.518661116,63351.38504,7708.027803,1131609.143
itchas_bau_a3_rNA,50,Quesnel_TSA,1660000,10086.316,1659969.896,86.75649088,1.951686533,53898.64004,7096.759003,1072555.456
itchas_bau_a3_rNA,55,Quesnel_TSA,1660000,10273.205,1659991.134,73.47918317,1.727169638,51354.17004,8464.390004,1310776.142
itchas_bau_a3_rNA,60,Quesnel_TSA,1660000,10802.89301,1659999.367,69.97166018,1.689007662,52343.87504,9149.221005,1360332.194
itchas_bau_a3_rNA,65,Quesnel_TSA,1660000,10881.71401,1659963.283,62.07267826,1.805793894,52471.66504,9869.972005,1485730.366
itchas_bau_a3_rNA,70,Quesnel_TSA,1660000,11106.79101,1659952.239,58.79842557,2.15414876,53109.42004,10403.37401,1545491.195
itchas_bau_a3_rNA,75,Quesnel_TSA,1660000,10464.53901,1659971.562,67.0160698,1.99895683,52048.32004,9408.473004,1423810.152
itchas_bau_a3_rNA,80,Quesnel_TSA,1660000,10474.66601,1659972.408,88.10509787,2.13550785,45427.43003,8565.934004,1242001.189
itchas_bau_a3_rNA,85,Quesnel_TSA,1660000,9917.128606,1659926.666,75.57181917,2.223571436,42836.22003,8789.299604,1318485.941
itchas_bau_a3_rNA,90,Quesnel_TSA,1660000,10431.424,1659992.986,71.82965855,2.132779392,38151.23003,9085.650004,1347460.118
itchas_bau_a3_rNA,95,Quesnel_TSA,1660000,11343.68801,1659988.11,63.10028282,1.983509006,36194.34003,10570.87,1505932.764
itchas_bau_a3_rNA,100,Quesnel_TSA,1660000,11111.25441,1659947.294,64.66471346,1.848486842,33951.24002,10355.3244,1498746.488
itchas_bau_a3_rNA,105,Quesnel_TSA,1660000,11209.06701,1659958.401,67.61202641,2.074984636,30317.58002,10296.181,1468032.574
itchas_bau_a3_rNA,110,Quesnel_TSA,1660000,11001.22501,1659952.529,66.4459487,1.737675724,25364.34002,10197.09901,1492447.341
itchas_bau_a3_rNA,115,Quesnel_TSA,1660000,10883.03401,1659978.896,53.90040921,2.357676344,31314.07002,10815.20201,1646869.593
