"scenario","compartment","timeperiod","critical_hab","dist500","dist500_per","dist","dist_per"
"cg_bau_a3_rNA","TFL48",0,"Burnt_Pine HESR","2101","10.9199584199584","138","0.717255717255717"
"cg_bau_a3_rNA","TFL48",0,"Burnt_Pine HEWR","9","13.0434782608696","0","0"
"cg_bau_a3_rNA","TFL48",0,"Burnt_Pine HEWSR","647","3.15748377336392","30","0.146405739104973"
"cg_bau_a3_rNA","TFL48",0,"Burnt_Pine Matrix","73440","62.1624824363901","26116","22.1056017335071"
"cg_bau_a3_rNA","TFL48",0,"Graham HESR","246","15.9636599610642","17","1.10317975340688"
"cg_bau_a3_rNA","TFL48",0,"Graham HEWSR","1505","14.5621673923561","548","5.30237058538945"
"cg_bau_a3_rNA","TFL48",0,"Graham Matrix","11229","38.3333902297477","2328","7.94729116171099"
"cg_bau_a3_rNA","TFL48",0,"Hart_Ranges HEWSR","0","0","0","0"
"cg_bau_a3_rNA","TFL48",0,"Kennedy_Siding HESR","2","0.156985871271586","0","0"
"cg_bau_a3_rNA","TFL48",0,"Kennedy_Siding HEWR","100","4.73709142586452","0","0"
"cg_bau_a3_rNA","TFL48",0,"Kennedy_Siding HEWSR","39","0.723562152133581","0","0"
"cg_bau_a3_rNA","TFL48",0,"Kennedy_Siding Matrix","6119","43.6136849607983","2146","15.295794725588"
"cg_bau_a3_rNA","TFL48",0,"Moberly HESR","345","6.05475605475605","25","0.438750438750439"
"cg_bau_a3_rNA","TFL48",0,"Moberly HEWR","839","22.6206524669722","48","1.29414936640604"
"cg_bau_a3_rNA","TFL48",0,"Moberly HEWSR","310","1.19336335989529","12","0.0461947107056242"
"cg_bau_a3_rNA","TFL48",0,"Moberly Matrix","70421","58.5349026648712","21703","18.0398317623394"
"cg_bau_a3_rNA","TFL48",0,"Quintette HESR","3796","31.8136104592692","1096","9.18538384177003"
"cg_bau_a3_rNA","TFL48",0,"Quintette HEWR","384","31.1688311688312","76","6.16883116883117"
"cg_bau_a3_rNA","TFL48",0,"Quintette HEWSR","4089","16.2713887783526","1398","5.56307202546757"
"cg_bau_a3_rNA","TFL48",0,"Quintette Matrix","64814","59.4683867179257","20366","18.6862894420538"
"cg_bau_a3_rNA","TFL48",5,"Burnt_Pine HESR","2108","10.956340956341","138","0.717255717255717"
"cg_bau_a3_rNA","TFL48",5,"Burnt_Pine HEWR","9","13.0434782608696","0","0"
"cg_bau_a3_rNA","TFL48",5,"Burnt_Pine HEWSR","658","3.21116587770241","30","0.146405739104973"
"cg_bau_a3_rNA","TFL48",5,"Burnt_Pine Matrix","77107","65.2663743630546","27531","23.3033129623673"
"cg_bau_a3_rNA","TFL48",5,"Graham HESR","246","15.9636599610642","17","1.10317975340688"
"cg_bau_a3_rNA","TFL48",5,"Graham HEWSR","1505","14.5621673923561","548","5.30237058538945"
"cg_bau_a3_rNA","TFL48",5,"Graham Matrix","10971","37.452633735022","2312","7.89267060389854"
"cg_bau_a3_rNA","TFL48",5,"Hart_Ranges HEWSR","0","0","0","0"
"cg_bau_a3_rNA","TFL48",5,"Kennedy_Siding HESR","2","0.156985871271586","0","0"
