scenario,compartment,timeperiod,herd_bounds,prop_age,prop_mature,prop_old,survival_rate,area
itchas_bau_a3_rNA,Quesnel_TSA,0,Barkerville HEWSR,0.166157439,0.03695631,0.773980734,0.684439825,51385
itchas_bau_a3_rNA,Quesnel_TSA,5,Barkerville HEWSR,0.169952321,0.035847037,0.77119782,0.671889029,51385
itchas_bau_a3_rNA,Quesnel_TSA,10,Barkerville HEWSR,0.178242678,0.033570108,0.767772696,0.643618421,51385
itchas_bau_a3_rNA,Quesnel_TSA,15,Barkerville HEWSR,0.15218449,0.025707891,0.773085531,0.72829835,51385
itchas_bau_a3_rNA,Quesnel_TSA,20,Barkerville HEWSR,0.100885472,0.024890532,0.773124453,0.853637942,51385
itchas_bau_a3_rNA,Quesnel_TSA,25,Barkerville HEWSR,0.088858616,0.023100126,0.779098959,0.869295693,51385
itchas_bau_a3_rNA,Quesnel_TSA,30,Barkerville HEWSR,0.089033765,0.022010314,0.778301061,0.869295693,51385
itchas_bau_a3_rNA,Quesnel_TSA,35,Barkerville HEWSR,0.09707113,0.016561253,0.783574973,0.860713495,51385
itchas_bau_a3_rNA,Quesnel_TSA,40,Barkerville HEWSR,0.118925757,0.019538776,0.78351659,0.816082767,51385
itchas_bau_a3_rNA,Quesnel_TSA,45,Barkerville HEWSR,0.130505011,0.013817262,0.788498589,0.788273646,51385
itchas_bau_a3_rNA,Quesnel_TSA,50,Barkerville HEWSR,0.15115306,0.014011871,0.773221757,0.731380335,51385
itchas_bau_a3_rNA,Quesnel_TSA,55,Barkerville HEWSR,0.188673737,0.020803736,0.736771431,0.606595825,51385
itchas_bau_a3_rNA,Quesnel_TSA,60,Barkerville HEWSR,0.235749732,0.028665953,0.698375012,0.430357179,51385
itchas_bau_a3_rNA,Quesnel_TSA,65,Barkerville HEWSR,0.257020531,0.028412961,0.685997859,0.353715914,51385
itchas_bau_a3_rNA,Quesnel_TSA,70,Barkerville HEWSR,0.255599883,0.034309623,0.686075703,0.358652912,51385
itchas_bau_a3_rNA,Quesnel_TSA,75,Barkerville HEWSR,0.280665564,0.036002725,0.656281016,0.27666266,51385
itchas_bau_a3_rNA,Quesnel_TSA,80,Barkerville HEWSR,0.391592877,0.036138951,0.533716065,0.066475174,51385
itchas_bau_a3_rNA,Quesnel_TSA,85,Barkerville HEWSR,0.392235088,0.035983264,0.507463267,0.065873756,51385
itchas_bau_a3_rNA,Quesnel_TSA,90,Barkerville HEWSR,0.385268074,0.034309623,0.501586066,0.072676192,51385
itchas_bau_a3_rNA,Quesnel_TSA,95,Barkerville HEWSR,0.376530116,0.025707891,0.503590542,0.082121253,51385
itchas_bau_a3_rNA,Quesnel_TSA,100,Barkerville HEWSR,0.362459862,0.017573222,0.504271675,0.099693124,51385
itchas_bau_a3_rNA,Quesnel_TSA,105,Barkerville HEWSR,0.342025883,0.015218449,0.497012747,0.131133954,51385
itchas_bau_a3_rNA,Quesnel_TSA,110,Barkerville HEWSR,0.343232461,0.012669067,0.49771334,0.129064589,51385
itchas_bau_a3_rNA,Quesnel_TSA,115,Barkerville HEWSR,0.352262333,0.007764912,0.5014693,0.114447128,51385
itchas_bau_a3_rNA,Quesnel_TSA,120,Barkerville HEWSR,0.361428432,0.006928092,0.500866011,0.101104874,51385
itchas_bau_a3_rNA,Quesnel_TSA,125,Barkerville HEWSR,0.289306218,0.006246959,0.494657974,0.251237589,51385
itchas_bau_a3_rNA,Quesnel_TSA,130,Barkerville HEWSR,0.283993383,0.009049333,0.493918459,0.266684713,51385
itchas_bau_a3_rNA,Quesnel_TSA,135,Barkerville HEWSR,0.298900457,0.015160066,0.49393792,0.224885426,51385
itchas_bau_a3_rNA,Quesnel_TSA,140,Barkerville HEWSR,0.330816386,0.015549285,0.493548701,0.151730323,51385
itchas_bau_a3_rNA,Quesnel_TSA,145,Barkerville HEWSR,0.308514158,0.017203464,0.491622069,0.200509686,51385
itchas_bau_a3_rNA,Quesnel_TSA,150,Barkerville HEWSR,0.33527294,0.01482923,0.490843631,0.143240617,51385
itchas_bau_a3_rNA,Quesnel_TSA,155,Barkerville HEWSR,0.359423956,0.021679478,0.490337647,0.10389927,51385
itchas_bau_a3_rNA,Quesnel_TSA,160,Barkerville HEWSR,0.364950861,0.041704778,0.489656515,0.09635571,51385
itchas_bau_a3_rNA,Quesnel_TSA,165,Barkerville HEWSR,0.357750316,0.031448866,0.488411015,0.106284545,51385
itchas_bau_a3_rNA,Quesnel_TSA,170,Barkerville HEWSR,0.338600759,0.025240829,0.488021796,0.137162132,51385
